Transaction ID,Date,Customer ID,Gender,Age,Product Category,Product Name,Quantity,Price per Unit,Total Amount,Region
100060,2024-03-30,C2060,Female,,Home & Kitchen,Cotton Bedsheet Set,2,2293,4586,North
100061,2024-03-03,C2061,Female,27.0,Electronics,Wireless Earbuds,1,9583,9583,North
100062,2024-05-23,C2062,Female,28.0,Clothing,Women's Dress,1,301,301,South
100063,2023-02-04,C2063,Male,45.0,Groceries,Cooking Oil 1L,2,192,384,North
100064,2023-07-25,C2064,Male,53.0,Electronics,Bluetooth Speaker,1,1434,1434,West
100065,2023-03-22,C2065,Female,37.0,Home & Kitchen,Storage Organizer,1,500,500,East
100066,2024-07-15,C2066,Female,,Beauty,Lipstick Set,2,1044,2088,North
100067,2024-01-23,C2067,Female,36.0,Electronics,USB-C Cable,1,14412,14412,South
100068,2023-01-02,C2068,Female,66.0,Clothing,Sneakers,1,2656,2656,East
100069,2024-01-25,C2069,Male,,Electronics,Wireless Earbuds,1,11963,11963,East
100070,2024-07-19,C2070,Female,44.0,Electronics,Wireless Earbuds,2,12880,25760,South
100071,2023-04-16,C2071,Male,43.0,Clothing,Winter Jacket,2,1255,2510,West
100072,2024-04-21,C2072,Female,48.0,Beauty,Perfume 100ml,1,1685,1685,East
100073,2024-12-03,C2073,Female,38.0,Groceries,Cooking Oil 1L,3,579,1737,East
100074,2024-02-06,C2074,Female,36.0,Electronics,USB-C Cable,3,14710,44130,South
100075,2024-12-30,C2075,Male,18.0,Electronics,Wireless Earbuds,1,14939,14939,East
100076,2024-07-09,C2076,Female,24.0,Beauty,Perfume 100ml,1,987,987,West
100077,2023-06-11,C2077,Male,18.0,Electronics,Wireless Earbuds,2,13015,26030,North
100078,2023-07-21,C2078,Male,55.0,Electronics,Smartphone Case,1,1069,1069,North
100079,2023-09-27,C2079,Male,27.0,Clothing,Denim Jeans,3,2660,7980,North
100080,2023-09-28,C2080,Female,28.0,Electronics,Power Bank,1,11204,11204,West
100081,2024-03-31,C2081,Female,53.0,Beauty,Shampoo 500ml,1,1118,1118,West
100082,2024-04-06,C2082,Male,36.0,Electronics,Bluetooth Speaker,1,12820,12820,East
100083,2024-12-27,C2083,Female,24.0,Clothing,Women's Dress,4,425,1700,East
100084,2023-09-09,C2084,Male,46.0,Groceries,Green Tea Box,1,200,200,North
100085,2024-12-02,C2085,Female,22.0,Beauty,Lipstick Set,1,1164,1164,South
100086,2023-10-23,C2086,Female,33.0,Groceries,Cooking Oil 1L,2,1192,2384,East
100087,2024-12-25,C2087,Female,56.0,Groceries,Basmati Rice 5kg,1,394,394,East
100088,2024-12-20,C2088,Female,23.0,Electronics,Smartwatch,1,14180,14180,East
100089,2023-12-04,C2089,Female,29.0,Clothing,Men's T-Shirt,1,987,987,North
100090,2023-02-22,C2090,Female,32.0,Clothing,Denim Jeans,2,3752,7504,West
100091,2023-08-05,C2091,Female,42.0,Groceries,Green Tea Box,2,871,1742,South
100092,2023-07-07,C2092,Male,,Beauty,Lipstick Set,1,1066,1066,South
100093,2024-01-15,C2093,Male,46.0,Clothing,Formal Shirt,1,3214,3214,East
100094,2024-05-07,C2094,Female,34.0,Home & Kitchen,Non-stick Pan,1,4115,4115,North
100095,2023-02-10,C2095,Female,21.0,Clothing,Denim Jeans,2,1649,3298,East
100096,2023-06-06,C2096,Female,20.0,Beauty,Sunscreen SPF50,1,1164,1164,North
100097,2023-01-15,C2097,Female,50.0,Clothing,Denim Jeans,1,2216,2216,South
100098,2023-03-06,C2098,Female,36.0,Beauty,Sunscreen SPF50,2,2488,4976,South
100099,2024-06-04,C2099,Male,28.0,Groceries,Cooking Oil 1L,1,1181,1181,South
100100,2023-12-10,C2100,Male,39.0,Home & Kitchen,Non-stick Pan,1,285,285,North
100101,2023-05-09,C2101,Female,18.0,Electronics,Smartwatch,2,7669,15338,West
100102,2024-10-09,C2102,Male,42.0,Beauty,Lipstick Set,1,2349,2349,South
100103,2024-04-16,C2103,Female,26.0,Home & Kitchen,Storage Organizer,2,395,790,North
100104,2023-03-04,C2104,Female,61.0,Clothing,Sneakers,1,782,782,North
100105,2023-05-19,C2105,Female,18.0,Clothing,Denim Jeans,1,3531,3531,North
100106,2024-05-13,C2106,Male,52.0,Beauty,Face Moisturizer,1,919,919,South
100107,2024-08-15,C2107,Male,44.0,Clothing,Men's T-Shirt,2,1298,2596,West
100108,2024-01-27,C2108,Male,46.0,Beauty,Lipstick Set,3,1155,3465,South
100109,2024-11-05,C2109,Male,52.0,Clothing,Formal Shirt,1,1007,1007,West
100110,2024-02-23,C2110,Male,52.0,Beauty,Perfume 100ml,1,2346,2346,North
100111,2023-10-16,C2111,Male,43.0,Clothing,Formal Shirt,2,3074,6148,South
100112,2024-01-14,C2112,Male,23.0,Groceries,Almonds 500g,1,502,502,South
100113,2024-05-04,C2113,Male,40.0,Electronics,Wireless Earbuds,2,3883,7766,East
100114,2023-08-19,C2114,Female,34.0,Home & Kitchen,Ceramic Mug Set,1,4975,4975,West
100115,2023-02-10,C2115,Male,42.0,Beauty,Lipstick Set,2,949,1898,West
100116,2023-01-28,C2116,Male,21.0,Home & Kitchen,LED Table Lamp,1,4826,4826,South
100117,2023-05-15,C2117,Male,18.0,Electronics,Wireless Earbuds,1,6099,6099,West
100118,2023-07-20,C2118,Female,29.0,Groceries,Green Tea Box,2,192,384,West
100119,2023-02-02,C2119,Female,39.0,Electronics,Smartphone Case,1,12221,12221,West
100120,2023-02-17,C2120,Male,39.0,Home & Kitchen,Storage Organizer,2,4744,9488,South
100121,2024-05-17,C2121,Female,24.0,Groceries,Cooking Oil 1L,2,842,1684,South
100122,2024-02-11,C2122,Female,37.0,Beauty,Face Moisturizer,1,971,971,West
100123,2024-07-27,C2123,Male,32.0,Beauty,Lipstick Set,1,1113,1113,West
100124,2024-12-28,C2124,Female,41.0,Beauty,Perfume 100ml,1,995,995,North
100125,2023-04-09,C2125,Male,28.0,Electronics,Smartphone Case,2,7410,14820,East
100126,2024-11-14,C2126,Female,18.0,Electronics,Wireless Earbuds,1,4650,4650,South
100127,2024-12-26,C2127,Male,43.0,Electronics,Power Bank,1,13277,13277,North
100128,2024-06-30,C2128,Male,25.0,Home & Kitchen,Non-stick Pan,1,1888,1888,North
100129,2024-09-04,C2129,Female,26.0,Beauty,Lipstick Set,1,1747,1747,South
100130,2024-04-06,C2130,Male,31.0,Beauty,Sunscreen SPF50,1,659,659,West
100131,2024-10-04,C2131,Male,22.0,Beauty,Lipstick Set,1,1050,1050,North
100132,2023-01-05,C2132,Male,18.0,Electronics,Power Bank,1,5068,5068,East
100133,2023-08-06,C2133,Female,25.0,Clothing,Sneakers,1,2031,2031,North
100134,2024-05-17,C2134,Female,39.0,Beauty,Shampoo 500ml,1,1609,1609,North
100135,2024-02-02,C2135,Male,32.0,Electronics,Wireless Earbuds,3,1371,4113,South
100136,2024-01-28,C2136,Female,23.0,Groceries,Almonds 500g,2,764,1528,North
100137,2023-07-26,C2137,Female,18.0,Groceries,Instant Noodles Pack,1,989,989,East
100138,2023-01-15,C2138,Male,19.0,Electronics,Wireless Earbuds,2,4256,8512,South
100139,2024-07-07,C2139,Male,23.0,Home & Kitchen,Cotton Bedsheet Set,1,3812,3812,South
100140,2024-04-05,C2140,Female,26.0,Home & Kitchen,LED Table Lamp,1,3541,3541,West
100141,2024-11-21,C2141,Male,41.0,Beauty,Shampoo 500ml,1,1763,1763,West
100142,2024-07-28,C2142,Female,33.0,Clothing,Women's Dress,1,951,951,West
100143,2023-08-29,C2143,Male,22.0,Beauty,Perfume 100ml,1,671,671,West
100144,2024-07-17,C2144,Male,40.0,Electronics,Wireless Earbuds,1,5741,5741,North
100145,2023-04-06,C2145,Female,35.0,Electronics,Bluetooth Speaker,2,7831,15662,East
100146,2024-04-29,C2146,Male,31.0,Clothing,Men's T-Shirt,1,3290,3290,West
100147,2024-02-11,C2147,Female,51.0,Home & Kitchen,Storage Organizer,1,4601,4601,West
100148,2023-08-19,C2148,Male,42.0,Groceries,Instant Noodles Pack,2,819,1638,North
100149,2024-10-16,C2149,Female,40.0,Clothing,Winter Jacket,2,2768,5536,South
100150,2023-06-20,C2150,Female,48.0,Clothing,Denim Jeans,1,1353,1353,North
100151,2024-06-24,C2151,Female,41.0,Clothing,Men's T-Shirt,2,814,1628,North
100152,2023-02-05,C2152,Female,41.0,Clothing,Women's Dress,2,2820,5640,North
100153,2024-06-08,C2153,Male,49.0,Clothing,Sneakers,1,3279,3279,East
100154,2023-06-09,C2154,Female,18.0,Electronics,Wireless Earbuds,1,14744,14744,North
100155,2024-11-29,C2155,Male,21.0,Clothing,Denim Jeans,4,2479,9916,East
100156,2023-08-31,C2156,Male,29.0,Home & Kitchen,Cotton Bedsheet Set,1,2273,2273,South
100157,2023-03-27,C2157,Male,21.0,Groceries,Instant Noodles Pack,1,385,385,East
100158,2024-07-31,C2158,Female,24.0,Electronics,Smartphone Case,1,12251,12251,North
100159,2024-11-12,C2159,Female,,Clothing,Formal Shirt,4,1440,5760,South
100160,2024-07-10,C2160,Male,33.0,Clothing,Winter Jacket,1,2460,2460,East
100161,2024-07-27,C2161,Male,32.0,Home & Kitchen,Cotton Bedsheet Set,2,2086,4172,East
100162,2024-10-07,C2162,Female,47.0,Clothing,Denim Jeans,2,1882,3764,East
100163,2023-01-28,C2163,Male,18.0,Electronics,Power Bank,4,14882,59528,North
100164,2024-09-11,C2164,Female,27.0,Home & Kitchen,Ceramic Mug Set,2,2150,4300,South
100165,2024-07-09,C2165,Female,19.0,Clothing,Sneakers,1,2608,2608,East
100166,2023-12-06,C2166,Female,27.0,Electronics,Smartphone Case,3,3639,10917,East
100167,2023-11-27,C2167,Male,39.0,Electronics,USB-C Cable,2,13635,27270,South
100168,2024-10-01,C2168,Male,22.0,Electronics,Smartwatch,1,962,962,West
100169,2024-05-20,C2169,Male,18.0,Electronics,Wireless Earbuds,1,10711,10711,East
100170,2023-12-14,C2170,Male,36.0,Beauty,Sunscreen SPF50,1,2160,2160,East
100171,2024-04-17,C2171,Female,34.0,Groceries,Cooking Oil 1L,2,945,1890,South
100172,2023-08-19,C2172,Male,37.0,Groceries,Instant Noodles Pack,2,1033,2066,West
100173,2023-07-09,C2173,Male,32.0,Electronics,Wireless Earbuds,1,8675,8675,North
100174,2023-08-13,C2174,Female,30.0,Home & Kitchen,Non-stick Pan,1,822,822,East
100175,2024-01-20,C2175,Male,35.0,Beauty,Lipstick Set,1,1002,1002,East
100176,2024-01-12,C2176,Male,24.0,Electronics,Smartphone Case,1,14991,14991,West
100177,2023-10-10,C2177,Female,45.0,Electronics,Bluetooth Speaker,1,2527,2527,South
100178,2024-09-24,C2178,Female,37.0,Clothing,Sneakers,1,2730,2730,North
100179,2024-09-19,C2179,Female,24.0,Electronics,Power Bank,1,2905,2905,South
100180,2023-09-16,C2180,Female,37.0,Beauty,Shampoo 500ml,3,1727,5181,West
100181,2023-12-25,C2181,Male,25.0,Clothing,Denim Jeans,1,1078,1078,South
100182,2024-12-10,C2182,Female,29.0,Clothing,Winter Jacket,2,784,1568,West
100183,2024-03-31,C2183,Female,48.0,Beauty,Lipstick Set,1,997,997,West
100184,2024-02-15,C2184,Male,48.0,Electronics,Smartwatch,1,4000,4000,West
100185,2024-10-10,C2185,Female,25.0,Clothing,Formal Shirt,1,2081,2081,North
100186,2023-11-14,C2186,Male,23.0,Home & Kitchen,Non-stick Pan,1,2160,2160,West
100187,2024-11-07,C2187,Female,46.0,Groceries,Green Tea Box,1,180,180,East
100188,2023-08-13,C2188,Female,53.0,Groceries,Instant Noodles Pack,4,314,1256,South
100189,2023-08-22,C2189,Male,37.0,Clothing,Winter Jacket,1,3072,3072,West
100190,2024-11-14,C2190,Female,31.0,Groceries,Cooking Oil 1L,1,205,205,North
100191,2024-10-25,C2191,Male,29.0,Clothing,Women's Dress,2,3300,6600,East
100192,2024-01-09,C2192,Male,28.0,Home & Kitchen,Storage Organizer,1,1180,1180,South
100193,2024-11-02,C2193,Female,37.0,Electronics,Smartwatch,2,13211,26422,North
100194,2024-08-30,C2194,Male,27.0,Electronics,Bluetooth Speaker,2,6840,13680,East
100195,2024-04-16,C2195,Male,31.0,Clothing,Winter Jacket,3,759,2277,West
100196,2023-08-21,C2196,Female,,Electronics,Smartphone Case,2,5541,11082,South
100197,2024-11-22,C2197,Male,35.0,Clothing,Winter Jacket,1,3049,3049,West
100198,2023-04-23,C2198,Female,31.0,Electronics,USB-C Cable,1,1223,1223,West
100199,2024-05-11,C2199,Female,38.0,Clothing,Denim Jeans,2,1598,3196,North
100200,2024-03-17,C2200,Male,38.0,Groceries,Basmati Rice 5kg,1,682,682,North
100201,2024-07-17,C2201,Female,54.0,Electronics,Wireless Earbuds,1,14765,14765,South
100202,2023-09-25,C2202,Female,30.0,Clothing,Formal Shirt,1,367,367,South
100203,2024-05-24,C2203,Male,42.0,Groceries,Instant Noodles Pack,2,481,962,East
100204,2024-01-21,C2204,Male,37.0,Groceries,Cooking Oil 1L,1,710,710,North
100205,2024-01-22,C2205,Female,46.0,Electronics,Power Bank,1,10050,10050,West
100206,2023-04-23,C2206,Male,50.0,Beauty,Sunscreen SPF50,2,1597,3194,East
100207,2024-09-04,C2207,Female,30.0,Groceries,Instant Noodles Pack,1,582,582,East
100208,2024-09-16,C2208,Male,31.0,Home & Kitchen,Storage Organizer,2,2645,5290,East
100209,2023-03-22,C2209,Male,18.0,Groceries,Cooking Oil 1L,1,1160,1160,West
100210,2024-11-29,C2210,Female,31.0,Electronics,Power Bank,1,9721,9721,South
100211,2023-04-23,C2211,Male,18.0,Clothing,Denim Jeans,1,1614,1614,South
100212,2023-01-02,C2212,Male,37.0,Beauty,Sunscreen SPF50,1,1475,1475,South
100213,2024-10-03,C2213,Male,37.0,Clothing,Sneakers,1,617,617,North
100214,2023-08-08,C2214,Female,36.0,Electronics,Power Bank,1,1655,1655,North
100215,2024-07-19,C2215,Male,44.0,Beauty,Shampoo 500ml,1,2324,2324,South
100216,2023-08-13,C2216,Female,18.0,Clothing,Winter Jacket,2,3304,6608,West
100217,2024-01-20,C2217,Male,43.0,Groceries,Cooking Oil 1L,2,908,1816,East
100218,2024-02-07,C2218,Female,40.0,Home & Kitchen,Non-stick Pan,1,4283,4283,North
100219,2024-09-29,C2219,Male,45.0,Beauty,Perfume 100ml,3,481,1443,South
100220,2023-05-10,C2220,Female,34.0,Groceries,Instant Noodles Pack,2,499,998,North
100221,2023-02-22,C2221,Male,62.0,Electronics,USB-C Cable,1,11493,11493,West
100222,2024-11-14,C2222,Female,18.0,Electronics,Smartwatch,1,14192,14192,North
100223,2024-12-30,C2223,Male,51.0,Clothing,Sneakers,1,348,348,South
100224,2024-11-02,C2224,Male,20.0,Home & Kitchen,Storage Organizer,1,1380,1380,South
100225,2024-12-10,C2225,Female,44.0,Home & Kitchen,Storage Organizer,1,2073,2073,West
100226,2024-02-20,C2226,Female,23.0,Groceries,Green Tea Box,1,1191,1191,North
100227,2023-09-04,C2227,Male,50.0,Clothing,Winter Jacket,1,1132,1132,North
100228,2024-03-14,C2228,Male,32.0,Electronics,USB-C Cable,1,2242,2242,South
100229,2023-07-22,C2229,Female,26.0,Beauty,Sunscreen SPF50,1,1613,1613,South
100230,2023-07-03,C2230,Female,21.0,Home & Kitchen,Ceramic Mug Set,4,1649,6596,North
100231,2023-05-03,C2231,Male,35.0,Electronics,Bluetooth Speaker,1,10249,10249,South
100232,2024-02-05,C2232,Female,18.0,Electronics,Power Bank,1,7428,7428,South
100233,2023-10-21,C2233,Male,18.0,Clothing,Women's Dress,2,2716,5432,East
100234,2023-10-07,C2234,Female,33.0,Electronics,Wireless Earbuds,1,7951,7951,South
100235,2024-09-01,C2235,Male,38.0,Electronics,Power Bank,2,1746,3492,West
100236,2023-07-17,C2236,Female,40.0,Home & Kitchen,LED Table Lamp,1,3239,3239,South
100237,2024-05-25,C2237,Female,28.0,Electronics,Power Bank,1,10126,10126,North
100238,2023-05-24,C2238,Male,31.0,Home & Kitchen,Cotton Bedsheet Set,2,2401,4802,East
100239,2024-08-31,C2239,Female,49.0,Electronics,Power Bank,1,11203,11203,North
100240,2023-07-20,C2240,Male,26.0,Beauty,Lipstick Set,2,1858,3716,East
100241,2023-05-04,C2241,Female,34.0,Clothing,Women's Dress,3,3900,11700,South
100242,2023-07-06,C2242,Male,69.0,Electronics,USB-C Cable,2,7966,15932,East
100243,2023-11-22,C2243,Male,20.0,Clothing,Denim Jeans,1,3108,3108,East
100244,2024-04-08,C2244,Female,35.0,Groceries,Green Tea Box,1,821,821,North
100245,2023-12-15,C2245,Male,33.0,Electronics,Wireless Earbuds,2,4735,9470,South
100246,2024-10-21,C2246,Male,43.0,Electronics,Power Bank,1,8461,8461,West
100247,2024-02-07,C2247,Female,42.0,Electronics,Bluetooth Speaker,2,6729,13458,East
100248,2023-12-12,C2248,Female,32.0,Home & Kitchen,Non-stick Pan,1,945,945,East
100249,2024-05-25,C2249,Female,30.0,Electronics,Power Bank,2,8868,17736,West
100250,2023-05-27,C2250,Male,23.0,Groceries,Green Tea Box,1,1177,1177,East
100251,2023-05-28,C2251,Female,44.0,Electronics,Bluetooth Speaker,1,8738,8738,East
100252,2024-12-11,C2252,Male,34.0,Home & Kitchen,Ceramic Mug Set,3,607,1821,West
100253,2024-05-03,C2253,Male,25.0,Home & Kitchen,Storage Organizer,1,1747,1747,South
100254,2024-10-01,C2254,Male,46.0,Electronics,Bluetooth Speaker,2,9965,19930,South
100255,2024-07-04,C2255,Male,37.0,Electronics,Power Bank,1,14164,14164,East
100256,2023-12-04,C2256,Female,36.0,Electronics,Smartwatch,1,8451,8451,North
100257,2024-10-02,C2257,Male,28.0,Home & Kitchen,Storage Organizer,1,2557,2557,East
100258,2024-04-17,C2258,Female,27.0,Electronics,Smartwatch,2,8727,17454,South
100259,2023-05-31,C2259,Male,34.0,Home & Kitchen,LED Table Lamp,1,2687,2687,East
100260,2024-02-19,C2260,Male,28.0,Clothing,Denim Jeans,2,1942,3884,West
100261,2023-10-25,C2261,Male,43.0,Groceries,Instant Noodles Pack,1,247,247,West
100262,2024-09-02,C2262,Male,49.0,Electronics,Smartphone Case,1,2748,2748,North
100263,2023-09-20,C2263,Female,44.0,Electronics,Power Bank,2,14212,28424,East
100264,2023-05-24,C2264,Female,33.0,Groceries,Basmati Rice 5kg,1,582,582,South
100265,2023-12-12,C2265,Male,23.0,Groceries,Green Tea Box,1,276,276,North
100266,2024-09-15,C2266,Female,44.0,Home & Kitchen,LED Table Lamp,1,2328,2328,East
100267,2024-07-25,C2267,Male,30.0,Beauty,Perfume 100ml,2,1346,2692,South
100268,2023-01-02,C2268,Female,35.0,Groceries,Almonds 500g,2,1101,2202,South
100269,2023-10-31,C2269,Female,30.0,Beauty,Sunscreen SPF50,1,2424,2424,West
100270,2023-09-11,C2270,Female,37.0,Home & Kitchen,Ceramic Mug Set,1,2350,2350,West
100271,2024-10-13,C2271,Male,31.0,Home & Kitchen,LED Table Lamp,1,636,636,South
100272,2024-03-28,C2272,Male,49.0,Beauty,Sunscreen SPF50,1,889,889,South
100273,2023-02-06,C2273,Female,27.0,Electronics,Wireless Earbuds,1,3545,3545,East
100274,2023-06-09,C2274,Male,35.0,Electronics,Smartwatch,1,14532,14532,South
100275,2023-01-09,C2275,Female,51.0,Clothing,Denim Jeans,2,1272,2544,West
100276,2023-08-21,C2276,Female,18.0,Electronics,Bluetooth Speaker,2,12022,24044,South
100277,2023-04-09,C2277,Female,23.0,Electronics,Wireless Earbuds,3,6145,18435,East
100278,2024-10-20,C2278,Female,39.0,Clothing,Women's Dress,1,1427,1427,North
100279,2023-07-27,C2279,Male,34.0,Clothing,Denim Jeans,2,3570,7140,East
100280,2023-05-11,C2280,Female,19.0,Home & Kitchen,Ceramic Mug Set,1,710,710,East
100281,2024-02-08,C2281,Male,51.0,Electronics,Wireless Earbuds,3,12165,36495,South
100282,2023-06-01,C2282,Male,22.0,Groceries,Basmati Rice 5kg,2,843,1686,West
100283,2023-02-23,C2283,Male,32.0,Beauty,Sunscreen SPF50,3,1731,5193,South
100284,2023-04-30,C2284,Male,18.0,Home & Kitchen,LED Table Lamp,1,2599,2599,North
100285,2024-11-03,C2285,Male,31.0,Home & Kitchen,Cotton Bedsheet Set,2,1796,3592,East
100286,2024-09-19,C2286,Female,34.0,Electronics,USB-C Cable,3,3543,10629,North
100287,2024-08-09,C2287,Female,37.0,Clothing,Denim Jeans,1,1169,1169,West
100288,2024-09-16,C2288,Female,39.0,Electronics,Bluetooth Speaker,2,12417,24834,West
100289,2024-02-24,C2289,Male,32.0,Clothing,Women's Dress,1,3723,3723,North
100290,2024-02-26,C2290,Female,37.0,Clothing,Men's T-Shirt,1,3971,3971,West
100291,2023-04-14,C2291,Female,45.0,Home & Kitchen,Storage Organizer,3,4259,12777,North
100292,2023-09-11,C2292,Male,29.0,Home & Kitchen,LED Table Lamp,1,1193,1193,South
100293,2023-08-15,C2293,Male,33.0,Beauty,Lipstick Set,3,1611,4833,West
100294,2023-04-22,C2294,Male,18.0,Groceries,Basmati Rice 5kg,2,1029,2058,East
100295,2024-05-24,C2295,Male,29.0,Groceries,Instant Noodles Pack,1,1164,1164,West
100296,2024-04-17,C2296,Male,36.0,Groceries,Cooking Oil 1L,3,364,1092,South
100297,2023-04-09,C2297,Female,31.0,Groceries,Instant Noodles Pack,2,873,1746,South
100298,2023-06-02,C2298,Female,31.0,Home & Kitchen,Cotton Bedsheet Set,1,2288,2288,West
100299,2023-12-04,C2299,Male,44.0,Clothing,Women's Dress,1,520,520,South
100300,2024-12-06,C2300,Male,34.0,Beauty,Perfume 100ml,1,624,624,South
100301,2023-06-12,C2301,Male,41.0,Home & Kitchen,Ceramic Mug Set,2,3857,7714,West
100302,2024-12-20,C2302,Male,32.0,Clothing,Men's T-Shirt,1,3619,3619,South
100303,2024-11-11,C2303,Male,41.0,Beauty,Sunscreen SPF50,1,1499,1499,West
100304,2023-06-10,C2304,Male,47.0,Electronics,Smartwatch,1,5107,5107,West
100305,2024-08-02,C2305,Female,43.0,Clothing,Women's Dress,2,1168,2336,West
100306,2024-02-02,C2306,Female,50.0,Electronics,Smartwatch,1,8014,8014,East
100307,2023-10-04,C2307,Male,18.0,Electronics,Smartphone Case,2,5338,10676,South
