Area_sqft,Bedrooms,Bathrooms,Age_years,Location,Price
944.0,4,3,33,Uptown,195300.0
1973.0,4,3,29,Uptown,305300.0
1697.0,4,4,32,Uptown,270600.0
1538.0,1,1,15,Suburb,199200.0
991.0,2,2,31,Rural,118800.0
2018.0,2,1,39,Uptown,234900.0
1103.0,2,1,31,Suburb,130600.0
1662.0,4,4,22,Downtown,286700.0
2554.0,4,3,27,Rural,303400.0
2609.0,3,3,36,Downtown,396500.0
1717.0,3,2,0,Rural,190800.0
400.0,2,2,20,Downtown,133600.0
2291.0,2,2,9,Downtown,365300.0
1196.0,3,3,44,Rural,92300.0
894.0,3,3,38,Rural,101000.0
,4,4,23,Downtown,335600.0
598.0,2,1,28,Rural,50000.0
2263.0,2,2,8,Downtown,339700.0
2388.0,4,4,10,Downtown,347700.0
2127.0,4,4,28,Downtown,329400.0
1936.0,1,1,16,Uptown,256200.0
1727.0,4,4,12,Uptown,302000.0
1486.0,3,3,14,Downtown,276100.0
1097.0,3,2,2,Uptown,167000.0
3340.0,2,2,9,Rural,410400.0
1511.0,2,2,20,Suburb,181000.0
1200.0,1,1,26,Downtown,177400.0
1739.0,3,2,30,Downtown,243900.0
2175.0,4,4,0,Uptown,387900.0
2464.0,2,1,29,Rural,260300.0
1652.0,2,2,32,Suburb,172100.0
1676.0,3,2,43,Uptown,216100.0
1279.0,3,3,31,Downtown,201400.0
1634.0,4,4,1,Downtown,264800.0
2362.0,1,1,3,Uptown,353400.0
1760.0,2,1,24,Rural,193100.0
1561.0,3,3,0,Suburb,233800.0
1911.0,2,2,27,Uptown,266200.0
1292.0,5,4,37,Downtown,214700.0
400.0,4,4,30,Uptown,109900.0
1484.0,3,2,42,Suburb,190300.0
400.0,4,4,16,Suburb,60200.0
1628.0,3,3,10,Uptown,269000.0
2068.0,3,3,21,Downtown,298100.0
2442.0,2,2,19,Downtown,356300.0
2144.0,3,3,2,Rural,268700.0
1824.0,4,4,25,Rural,223700.0
1133.0,1,1,44,Suburb,132200.0
1086.0,4,4,40,Downtown,231700.0
1663.0,3,3,18,Downtown,274700.0
1238.0,3,2,33,Suburb,161100.0
1175.0,3,2,37,Uptown,139600.0
1829.0,5,4,7,Rural,246400.0
1246.0,3,3,20,Suburb,166700.0
619.0,2,1,11,Rural,91100.0
1658.0,2,2,31,Rural,179200.0
1183.0,3,3,36,Uptown,212600.0
2136.0,3,3,38,Downtown,298000.0
2641.0,2,1,12,Downtown,358600.0
2294.0,3,3,14,Uptown,361400.0
2084.0,2,2,5,Suburb,261700.0
2688.0,3,2,5,Rural,351500.0
1162.0,3,3,10,Downtown,222100.0
1425.0,3,3,35,Downtown,209900.0
1921.0,3,2,17,Rural,239100.0
1543.0,4,3,6,Suburb,218500.0
1894.0,4,4,26,Downtown,296100.0
1554.0,4,4,8,Suburb,229100.0
1630.0,3,2,8,Suburb,252200.0
1522.0,4,4,37,Rural,159900.0
2284.0,2,2,33,Downtown,341900.0
1679.0,4,3,43,Rural,182100.0
948.0,2,2,31,Downtown,182100.0
1721.0,4,4,35,Uptown,263000.0
1404.0,4,4,7,Suburb,195100.0
2739.0,2,1,13,Uptown,407600.0
2036.0,2,1,37,Suburb,255000.0
2626.0,3,2,35,Downtown,394000.0
,2,2,7,Suburb,225700.0
2399.0,5,5,3,Suburb,309800.0
2297.0,5,5,36,Suburb,350700.0
2163.0,3,2,8,Suburb,293600.0
669.0,4,4,33,Downtown,151600.0
1930.0,4,3,10,Downtown,300100.0
2685.0,5,4,14,Suburb,365800.0
1809.0,1,1,14,Suburb,224000.0
2560.0,2,2,6,Downtown,383600.0
1488.0,3,2,1,Suburb,207300.0
1601.0,4,4,36,Uptown,220700.0
2248.0,2,2,24,Downtown,317600.0
881.0,2,1,6,Suburb,151400.0
2887.0,1,1,37,Suburb,333000.0
1621.0,2,2,42,Suburb,178800.0
2654.0,3,3,0,Suburb,383400.0
1411.0,4,4,4,Suburb,230900.0
2289.0,3,3,32,Uptown,284100.0
1530.0,3,3,0,Downtown,240800.0
800.0,5,5,31,Downtown,186200.0
1525.0,2,2,43,Rural,161400.0
1726.0,3,3,9,Downtown,290400.0
2112.0,2,2,14,Suburb,294200.0
1287.0,2,2,37,Suburb,171500.0
2138.0,2,1,26,Suburb,244500.0
1631.0,2,2,23,Uptown,243300.0
514.0,2,2,24,Uptown,118200.0
2440.0,2,2,14,Downtown,359300.0
2501.0,2,2,35,Downtown,368500.0
1568.0,1,1,32,Downtown,187900.0
1678.0,3,3,21,Uptown,280900.0
1459.0,3,2,9,Downtown,232600.0
2047.0,3,3,32,Rural,260300.0
1417.0,4,4,34,Downtown,251700.0
2341.0,4,3,18,Uptown,323700.0
1706.0,2,1,7,Suburb,244500.0
956.0,4,4,26,Suburb,152800.0
2246.0,3,3,20,Suburb,283000.0
2106.0,5,4,39,Rural,238900.0
599.0,5,5,30,Rural,97300.0
1921.0,4,3,7,Suburb,299800.0
2165.0,1,1,21,Uptown,285000.0
1739.0,4,4,1,Suburb,268900.0
1488.0,3,2,30,Uptown,198700.0
2599.0,4,4,6,Downtown,397200.0
1370.0,3,3,18,Rural,138100.0
2933.0,4,4,10,Downtown,450700.0
1331.0,5,5,35,Downtown,254500.0
2411.0,3,2,44,Uptown,341700.0
2973.0,1,1,11,Rural,374000.0
966.0,1,1,20,Downtown,167300.0
2111.0,3,2,30,Downtown,281600.0
1331.0,4,4,15,Downtown,271400.0
2321.0,4,3,27,Suburb,311300.0
2733.0,2,2,10,Uptown,378700.0
2954.0,2,1,18,Rural,315800.0
2467.0,3,2,17,Suburb,288000.0
1584.0,2,2,5,Downtown,260700.0
2269.0,1,1,14,Suburb,293900.0
3512.0,3,2,22,Suburb,465500.0
2619.0,2,2,22,Suburb,342300.0
3252.0,4,3,22,Downtown,464600.0
2558.0,2,2,37,Downtown,394200.0
1036.0,2,2,15,Uptown,176900.0
1635.0,4,4,19,Uptown,255900.0
2276.0,2,1,27,Uptown,265600.0
1206.0,2,2,13,Suburb,186500.0
2265.0,3,2,7,Suburb,300800.0
564.0,2,2,17,Suburb,81700.0
1769.0,3,3,17,Suburb,261800.0
2201.0,4,4,40,Uptown,351300.0
611.0,2,1,15,Uptown,94000.0
2178.0,5,4,18,Uptown,304400.0
2409.0,2,1,17,Rural,286900.0
2430.0,3,2,29,Downtown,334200.0
757.0,3,3,28,Rural,66400.0
899.0,4,4,3,Uptown,212400.0
2571.0,3,2,40,Downtown,359000.0
2572.0,5,4,0,Downtown,394400.0
1146.0,3,3,10,Suburb,156200.0
970.0,5,4,43,Suburb,137100.0
2463.0,4,4,33,Downtown,358100.0
564.0,3,3,26,Uptown,112400.0
2267.0,3,2,39,Downtown,304200.0
763.0,1,1,8,Uptown,128800.0
901.0,4,4,39,Rural,128100.0
1892.0,2,2,21,Downtown,285300.0
2263.0,4,3,15,Uptown,340600.0
2280.0,2,2,11,Suburb,311200.0
1919.0,2,2,6,Rural,180400.0
1260.0,3,2,16,Suburb,235000.0
1297.0,3,3,5,Downtown,258900.0
1973.0,3,3,15,Suburb,274500.0
2264.0,4,3,13,Downtown,373800.0
1234.0,4,4,0,Suburb,208200.0
1363.0,3,3,2,Rural,158500.0
1419.0,2,2,9,Rural,182900.0
1842.0,2,1,17,Uptown,267900.0
1193.0,2,2,18,Uptown,219500.0
1795.0,3,3,39,Downtown,259800.0
1939.0,3,2,20,Rural,217800.0
2136.0,2,2,42,Suburb,236100.0
2100.0,4,3,10,Rural,274800.0
989.0,4,4,12,Rural,156300.0
1843.0,3,2,42,Suburb,199100.0
2092.0,3,3,29,Downtown,322600.0
1356.0,4,4,1,Downtown,258600.0
1547.0,4,4,29,Downtown,267800.0
2710.0,2,2,6,Downtown,415600.0
522.0,2,2,13,Downtown,109000.0
3211.0,2,1,7,Downtown,421400.0
2595.0,3,2,13,Suburb,353900.0
1605.0,3,3,15,Rural,173200.0
2860.0,3,3,23,Rural,316600.0
1178.0,3,3,43,Downtown,160400.0
2145.0,2,1,21,Downtown,351500.0
899.0,3,3,3,Uptown,125400.0
2828.0,2,2,19,Suburb,377900.0
1388.0,3,3,29,Suburb,196600.0
2368.0,4,4,17,Rural,317700.0
1944.0,2,1,6,Suburb,273700.0
1565.0,4,4,15,Downtown,291800.0
1455.0,5,5,37,Suburb,210700.0
3457.0,5,4,13,Rural,436600.0
,4,4,36,Suburb,200000.0
2155.0,2,1,1,Suburb,326100.0
2252.0,1,1,13,Downtown,307200.0
,2,2,24,Downtown,341500.0
2531.0,4,4,8,Suburb,340900.0
1093.0,2,1,8,Downtown,164000.0
,5,5,35,Rural,217200.0
2250.0,3,3,27,Downtown,298300.0
2014.0,4,3,36,Downtown,310200.0
1365.0,3,3,17,Rural,139400.0
1510.0,3,2,25,Rural,159300.0
1777.0,3,2,16,Suburb,229500.0
1077.0,4,3,18,Downtown,234000.0
1788.0,1,1,30,Suburb,244400.0
2196.0,5,5,6,Downtown,377900.0
2166.0,4,4,24,Downtown,334500.0
2144.0,1,1,36,Downtown,293500.0
1230.0,3,3,10,Rural,180400.0
749.0,3,2,39,Suburb,63600.0
2033.0,3,3,14,Downtown,345900.0
1343.0,5,4,34,Downtown,213000.0
2063.0,3,3,5,Rural,278800.0
2836.0,2,1,26,Uptown,348500.0
1935.0,3,3,42,Suburb,256500.0
1663.0,3,3,10,Uptown,275000.0
1327.0,2,1,37,Rural,131000.0
1193.0,1,1,4,Rural,119600.0
2643.0,2,2,12,Rural,297400.0
400.0,4,3,16,Uptown,89100.0
1684.0,5,4,7,Rural,248700.0
2581.0,4,3,39,Downtown,405100.0
1146.0,2,2,36,Suburb,154800.0
1762.0,4,4,38,Rural,156200.0
1627.0,3,3,25,Downtown,232600.0
2177.0,2,1,28,Downtown,308400.0
2745.0,5,5,32,Uptown,428900.0
1521.0,2,1,4,Suburb,211600.0
1150.0,3,3,25,Uptown,170700.0
1382.0,2,2,44,Uptown,200200.0
3075.0,2,2,4,Downtown,441500.0
3087.0,4,4,39,Downtown,442200.0
2079.0,4,3,21,Suburb,310100.0
2203.0,3,3,19,Rural,263800.0
1394.0,2,1,6,Downtown,246500.0
2462.0,2,2,32,Suburb,296300.0
1640.0,1,1,8,Suburb,220000.0
1252.0,4,3,0,Rural,160500.0
1966.0,2,2,17,Uptown,271800.0
1606.0,5,4,29,Suburb,216400.0
1942.0,3,3,15,Downtown,295800.0
1783.0,3,3,39,Suburb,212400.0
2031.0,1,1,44,Uptown,301200.0
1885.0,4,4,16,Suburb,263900.0
3022.0,3,3,22,Suburb,371200.0
2289.0,3,2,11,Uptown,345500.0
1587.0,3,3,13,Suburb,248600.0
2149.0,4,3,22,Uptown,302400.0
1424.0,4,3,1,Uptown,261200.0
1799.0,5,5,22,Uptown,301900.0
1149.0,2,2,30,Downtown,148200.0
1137.0,4,3,1,Uptown,186500.0
1897.0,3,2,34,Rural,172700.0
887.0,1,1,18,Uptown,141300.0
1894.0,2,1,7,Rural,234600.0
1555.0,3,3,34,Downtown,254100.0
1834.0,3,3,23,Downtown,295000.0
2268.0,4,3,23,Suburb,319200.0
2457.0,2,2,1,Suburb,325200.0
2069.0,4,4,21,Uptown,292900.0
1238.0,3,2,41,Suburb,178900.0
2217.0,2,1,9,Downtown,332100.0
2756.0,3,3,27,Downtown,388000.0
2009.0,3,3,8,Rural,224300.0
578.0,2,1,6,Downtown,152900.0
988.0,4,3,24,Downtown,176600.0
2020.0,5,5,40,Suburb,283800.0
1606.0,4,3,42,Rural,177200.0
3289.0,4,4,11,Uptown,477200.0
1488.0,3,2,31,Rural,121700.0
1652.0,4,3,32,Rural,211500.0
2161.0,3,3,16,Downtown,378000.0
400.0,1,1,2,Rural,60700.0
2377.0,4,4,35,Suburb,340900.0
1638.0,3,2,11,Uptown,285200.0
883.0,4,3,35,Suburb,128800.0
1532.0,2,2,24,Downtown,233100.0
2560.0,3,3,25,Rural,308700.0
1986.0,3,2,16,Uptown,307800.0
400.0,3,2,6,Suburb,51400.0
2095.0,4,4,34,Downtown,336100.0
1599.0,3,2,44,Uptown,248600.0
1939.0,5,4,28,Downtown,286800.0
970.0,2,1,10,Downtown,206300.0
2450.0,3,3,31,Suburb,299900.0
2441.0,2,1,18,Downtown,348300.0
1894.0,5,4,12,Downtown,328000.0
,4,4,25,Suburb,238500.0
2538.0,3,3,16,Suburb,315700.0
2119.0,2,2,10,Suburb,320800.0
1633.0,1,1,42,Suburb,164800.0
1684.0,2,1,3,Suburb,225800.0
2108.0,2,1,13,Suburb,319200.0
3000.0,3,2,18,Downtown,430000.0
1499.0,4,4,39,Suburb,185600.0
1521.0,3,3,42,Suburb,165800.0
2326.0,2,1,32,Downtown,351100.0
1462.0,3,3,16,Rural,185500.0
1202.0,4,4,30,Rural,103800.0
1119.0,4,3,44,Suburb,121700.0
2747.0,2,1,26,Suburb,337600.0
1248.0,2,2,23,Uptown,185900.0
1653.0,3,3,25,Downtown,290500.0
836.0,3,3,31,Suburb,113400.0
1752.0,2,1,27,Downtown,234400.0
1541.0,2,1,4,Suburb,227300.0
1691.0,2,1,35,Suburb,196500.0
1527.0,4,3,12,Uptown,259200.0
1825.0,2,1,32,Suburb,230200.0
1684.0,3,3,13,Uptown,284200.0
1668.0,3,2,25,Suburb,228900.0
1350.0,4,3,2,Downtown,254000.0
1363.0,3,3,1,Suburb,203100.0
2355.0,4,3,43,Uptown,348600.0
1719.0,2,1,31,Rural,207800.0
2575.0,4,4,35,Downtown,374100.0
1526.0,3,2,13,Uptown,244900.0
1435.0,2,1,12,Downtown,193600.0
2491.0,4,3,1,Downtown,415500.0
1708.0,1,1,34,Suburb,226700.0
1612.0,1,1,8,Downtown,226600.0
1575.0,3,2,0,Rural,215500.0
2710.0,2,2,22,Rural,319200.0
1837.0,3,2,8,Rural,226000.0
2224.0,2,1,0,Suburb,298200.0
2515.0,2,2,21,Rural,314900.0
2085.0,4,4,3,Rural,250500.0
1117.0,4,3,0,Rural,142000.0
2051.0,3,2,0,Suburb,289000.0
2649.0,2,2,21,Uptown,327400.0
2372.0,3,2,2,Suburb,330800.0
1955.0,2,2,0,Suburb,257400.0
1473.0,1,1,44,Downtown,187900.0
2402.0,4,3,7,Downtown,352800.0
609.0,3,3,35,Suburb,78200.0
2510.0,3,3,23,Suburb,325700.0
2634.0,1,1,40,Suburb,308500.0
1241.0,1,1,27,Suburb,145700.0
1871.0,1,1,7,Rural,190600.0
647.0,3,2,19,Suburb,156100.0
1769.0,3,3,11,Suburb,273300.0
1416.0,4,4,28,Rural,179000.0
948.0,2,1,15,Uptown,175300.0
1975.0,4,3,19,Rural,221400.0
2872.0,5,4,18,Suburb,372000.0
2424.0,1,1,28,Rural,227400.0
1539.0,3,3,29,Downtown,229200.0
2756.0,3,3,29,Suburb,359800.0
2408.0,4,3,28,Rural,301100.0
3134.0,2,2,27,Suburb,380900.0
1627.0,1,1,3,Downtown,257800.0
2432.0,4,4,4,Uptown,373000.0
3051.0,3,3,19,Downtown,428400.0
575.0,4,3,7,Suburb,132800.0
2299.0,2,2,2,Downtown,369000.0
1103.0,2,1,15,Suburb,113600.0
1400.0,2,2,21,Rural,152100.0
1856.0,3,2,35,Rural,166800.0
2026.0,1,1,14,Suburb,273100.0
2931.0,3,3,6,Uptown,434600.0
1936.0,2,1,31,Suburb,208500.0
1809.0,5,5,35,Suburb,268900.0
1388.0,2,1,38,Suburb,142300.0
1117.0,4,4,42,Rural,127400.0
,1,1,24,Suburb,114000.0
2363.0,5,5,7,Downtown,410600.0
1244.0,1,1,12,Suburb,162500.0
2863.0,4,3,16,Rural,367100.0
2223.0,3,3,8,Downtown,348400.0
2643.0,4,3,18,Downtown,409300.0
1696.0,5,4,7,Suburb,281300.0
2788.0,4,3,7,Uptown,411200.0
1584.0,3,3,27,Suburb,187700.0
1808.0,3,3,21,Downtown,270000.0
863.0,4,4,3,Suburb,151600.0
912.0,5,5,14,Suburb,176600.0
1393.0,3,3,24,Suburb,196800.0
2085.0,2,2,7,Suburb,240200.0
2048.0,3,2,28,Rural,254600.0
2302.0,3,2,42,Suburb,287300.0
1977.0,2,1,42,Rural,177000.0
747.0,4,4,37,Uptown,160100.0
1455.0,2,2,0,Suburb,189600.0
1514.0,3,2,28,Suburb,212200.0
2107.0,2,2,44,Downtown,286500.0
2332.0,5,4,6,Rural,313800.0
1326.0,4,4,29,Downtown,245800.0
836.0,2,2,22,Rural,103600.0
2100.0,3,3,11,Suburb,270300.0
2695.0,3,3,18,Suburb,330700.0
2703.0,3,2,30,Uptown,383600.0
1582.0,5,5,43,Suburb,217600.0
1677.0,4,3,16,Suburb,239000.0
1405.0,3,3,31,Downtown,229000.0
2612.0,4,4,7,Rural,322300.0
1701.0,3,3,36,Downtown,240400.0
2259.0,4,4,14,Uptown,337900.0
1824.0,2,2,35,Rural,169600.0
2401.0,2,2,33,Suburb,272100.0
2887.0,3,3,1,Uptown,419000.0
1698.0,3,3,36,Uptown,248500.0
1970.0,3,3,13,Downtown,326400.0
1784.0,1,1,26,Suburb,233600.0
1695.0,1,1,41,Uptown,230800.0
1352.0,1,1,42,Suburb,127300.0
990.0,4,4,4,Suburb,165600.0
400.0,3,3,35,Suburb,93500.0
1803.0,3,3,34,Suburb,234600.0
1706.0,4,4,43,Downtown,279700.0
2315.0,5,5,16,Downtown,354500.0
1604.0,3,3,33,Uptown,231500.0
655.0,3,2,20,Rural,66300.0
2235.0,4,4,33,Suburb,296900.0
3330.0,3,3,25,Rural,414800.0
1528.0,3,3,39,Downtown,210100.0
2318.0,3,2,1,Suburb,337200.0
2520.0,2,1,31,Rural,252000.0
1098.0,4,4,2,Downtown,225200.0
1180.0,3,3,35,Uptown,183300.0
2145.0,3,3,40,Uptown,306300.0
1343.0,4,4,37,Downtown,245100.0
888.0,3,2,30,Rural,90600.0
1985.0,3,2,24,Suburb,269100.0
3270.0,3,3,36,Downtown,466900.0
769.0,5,4,0,Rural,81300.0
1222.0,3,3,39,Suburb,132500.0
2094.0,4,3,24,Uptown,289600.0
1381.0,4,4,9,Downtown,287500.0
1497.0,2,2,26,Rural,154600.0
1619.0,3,3,43,Rural,144200.0
1506.0,4,3,41,Downtown,239400.0
1615.0,3,3,8,Downtown,271800.0
1385.0,5,4,6,Downtown,277900.0
2302.0,4,4,6,Downtown,383600.0
1512.0,3,2,2,Rural,201300.0
1339.0,2,1,25,Uptown,178300.0
1917.0,2,1,38,Suburb,204000.0
2244.0,3,3,19,Downtown,360700.0
2007.0,3,3,43,Rural,229000.0
2110.0,3,3,9,Downtown,328000.0
2608.0,1,1,28,Uptown,345100.0
458.0,2,1,13,Suburb,51500.0
993.0,4,3,34,Uptown,169300.0
1161.0,4,3,0,Suburb,208900.0
955.0,3,2,21,Downtown,169700.0
1862.0,4,4,16,Rural,246600.0
1819.0,2,2,36,Suburb,209400.0
2548.0,4,4,8,Rural,338300.0
1684.0,3,3,38,Rural,217500.0
1010.0,3,2,38,Suburb,135100.0
2759.0,3,3,20,Rural,275100.0
2603.0,4,4,35,Downtown,369300.0
1993.0,2,2,18,Uptown,263500.0
3015.0,2,1,20,Downtown,419000.0
3702.0,3,3,19,Rural,452300.0
1432.0,2,2,13,Suburb,202400.0
1413.0,4,4,6,Suburb,205000.0
2377.0,5,5,38,Downtown,356700.0
1613.0,4,3,8,Rural,214800.0
2370.0,3,2,16,Rural,284400.0
2348.0,2,2,2,Suburb,267700.0
1473.0,2,1,38,Suburb,138300.0
2529.0,3,2,42,Suburb,343500.0
2352.0,2,2,43,Rural,242200.0
1643.0,2,2,34,Uptown,227000.0
2577.0,3,2,6,Downtown,386900.0
3849.0,5,5,5,Downtown,585800.0
2336.0,3,3,44,Rural,258300.0
921.0,1,1,25,Downtown,120900.0
1642.0,3,2,44,Uptown,202500.0
1538.0,3,3,4,Suburb,235400.0
1323.0,2,2,15,Suburb,161700.0
2209.0,4,4,39,Rural,220000.0
3091.0,2,2,7,Suburb,458400.0
1971.0,4,4,23,Downtown,276100.0
1178.0,5,4,25,Suburb,187900.0
2171.0,1,1,10,Rural,238200.0
1042.0,3,2,39,Rural,87900.0
2403.0,3,3,28,Downtown,364300.0
1973.0,3,3,23,Downtown,313100.0
1473.0,2,1,20,Uptown,199900.0
1311.0,3,2,4,Suburb,212100.0
2096.0,5,4,13,Suburb,273900.0
2587.0,4,3,39,Uptown,341200.0
2704.0,2,2,15,Uptown,356200.0
1917.0,2,1,12,Downtown,275400.0
2011.0,5,5,39,Downtown,305700.0
1688.0,3,3,21,Downtown,294300.0
1204.0,4,4,36,Suburb,178800.0
1280.0,3,2,36,Rural,172300.0
2702.0,4,4,4,Downtown,397400.0
1349.0,3,3,41,Rural,128500.0
2812.0,3,2,15,Uptown,366400.0
1423.0,4,3,31,Suburb,183100.0
736.0,2,2,8,Uptown,157300.0
1425.0,2,1,44,Suburb,177100.0
2013.0,4,4,26,Suburb,289900.0
1692.0,2,1,22,Downtown,209400.0
2146.0,3,3,25,Downtown,322000.0
3221.0,3,3,25,Downtown,449200.0
2001.0,5,5,12,Suburb,353000.0
1794.0,2,2,8,Suburb,242300.0
1479.0,4,3,31,Suburb,197600.0
1655.0,5,5,0,Rural,247300.0
2868.0,3,2,26,Rural,316000.0
2559.0,2,2,26,Suburb,315000.0
2878.0,4,4,39,Suburb,344200.0
1965.0,2,2,36,Suburb,213300.0
1402.0,4,4,13,Rural,184400.0
1851.0,2,1,36,Rural,216800.0
1653.0,3,2,17,Suburb,208300.0
2737.0,1,1,26,Suburb,332100.0
2301.0,3,2,22,Downtown,340600.0
601.0,3,2,15,Uptown,125000.0
1047.0,3,2,5,Downtown,163900.0
1626.0,4,3,31,Uptown,233300.0
2923.0,2,1,33,Uptown,380500.0
1367.0,2,2,13,Downtown,281600.0
1917.0,1,1,24,Uptown,225200.0
2070.0,4,4,11,Downtown,362300.0
2153.0,5,5,15,Suburb,295500.0
2202.0,3,2,2,Downtown,353800.0
1443.0,3,2,30,Uptown,181500.0
2438.0,5,5,22,Uptown,388100.0
