CustomerID,Recency,Frequency,Monetary
CUST1146,123,2,9822.26
CUST1147,6,18,23317.97
CUST1148,14,26,20594.72
CUST1149,11,20,13178.45
CUST1150,70,2,5256.94
CUST1151,3,22,22081.41
CUST1152,98,5,7885.0
CUST1153,243,3,1061.21
CUST1154,320,2,993.78
CUST1155,9,26,1740.23
CUST1156,160,4,368.9
CUST1157,119,2,6636.96
CUST1158,251,2,444.53
CUST1159,7,16,14257.18
CUST1160,289,1,1342.94
CUST1161,70,4,5994.36
CUST1162,14,39,2601.08
CUST1163,3,24,19481.67
CUST1164,112,6,9624.68
CUST1165,6,39,16754.78
CUST1166,177,7,4048.91
CUST1167,14,23,1829.46
CUST1168,9,26,15724.64
CUST1169,10,30,12914.86
CUST1170,295,2,1445.09
CUST1171,6,35,1574.11
CUST1172,9,35,2267.22
CUST1173,10,25,2692.14
CUST1174,3,29,20810.21
CUST1175,221,1,1153.59
CUST1176,143,7,11770.46
CUST1177,5,46,577.29
CUST1178,14,28,1790.52
CUST1179,67,7,9527.7
CUST1180,9,28,1929.07
CUST1181,316,2,924.19
CUST1182,159,2,11114.76
CUST1183,15,37,2693.67
CUST1184,1,18,12976.88
CUST1185,1,26,16894.45
CUST1186,10,37,18078.08
CUST1187,93,7,10497.42
CUST1188,294,1,464.55
CUST1189,91,2,3581.25
CUST1190,312,2,927.3
CUST1191,16,45,2573.42
CUST1192,12,28,2941.41
CUST1193,303,3,859.29
CUST1194,6,47,537.01
CUST1195,1,16,17853.28
CUST1196,4,49,2719.67
CUST1197,7,18,22294.47
CUST1198,182,2,460.24
CUST1199,185,2,1480.11
CUST1200,19,37,2267.97
CUST1201,93,5,7154.3
CUST1202,119,2,8091.75
CUST1203,9,34,796.81
CUST1204,170,3,8362.29
CUST1205,12,32,14219.76
CUST1206,94,6,4094.38
CUST1207,13,25,2730.88
CUST1208,11,22,1862.19
CUST1209,6,21,20908.14
CUST1210,4,37,1480.36
CUST1211,157,3,7093.05
CUST1212,65,2,8087.09
CUST1213,2,29,21290.08
CUST1214,4,25,1016.79
CUST1215,4,38,23087.22
CUST1216,262,4,1168.98
CUST1217,1,22,22894.44
CUST1218,77,4,11427.63
CUST1219,7,16,18305.98
CUST1220,16,21,676.04
CUST1221,10,30,16130.61
CUST1222,282,1,668.52
CUST1223,202,4,519.22
CUST1224,276,2,392.68
CUST1225,127,7,7758.4
CUST1226,184,3,726.0
CUST1227,7,39,19738.07
CUST1228,5,25,19920.24
CUST1229,10,15,18314.15
CUST1230,11,27,9586.33
CUST1231,134,3,11299.77
CUST1232,14,27,1921.82
CUST1233,11,27,15049.78
CUST1234,133,3,11517.33
CUST1235,100,7,9233.53
CUST1236,8,30,1480.41
CUST1237,11,31,10265.09
CUST1238,8,40,1414.97
CUST1239,123,4,9308.87
CUST1240,2,18,10855.58
CUST1241,241,4,588.21
CUST1242,2,43,743.66
CUST1243,1,31,8367.48
CUST1244,1,25,1798.01
CUST1245,244,2,102.57
CUST1246,12,32,20436.49
CUST1247,319,1,1045.85
CUST1248,64,4,7697.72
CUST1249,2,24,16689.32
CUST1250,18,29,2541.3
CUST1251,169,4,6240.64
CUST1252,7,35,2046.47
CUST1253,311,4,1157.41
CUST1254,255,2,309.86
CUST1255,6,26,14822.04
CUST1256,6,16,19884.46
CUST1257,162,4,10335.04
CUST1258,161,4,1027.92
CUST1259,296,2,355.5
CUST1260,12,22,18450.98
CUST1261,171,4,746.22
CUST1262,343,1,992.33
CUST1263,71,3,6363.54
CUST1264,3,28,1476.01
CUST1265,255,4,182.6
CUST1266,10,17,15716.28
CUST1267,14,20,2340.88
CUST1268,101,7,8867.55
CUST1269,12,30,1649.57
CUST1270,157,7,6376.8
CUST1271,274,4,320.27
CUST1272,8,31,1981.74
CUST1273,2,34,1204.78
CUST1274,5,37,1008.67
CUST1275,11,17,14014.92
CUST1276,15,42,745.8
CUST1277,6,26,12037.98
CUST1278,145,2,9974.43
CUST1279,171,3,1314.94
CUST1280,15,49,1760.0
CUST1281,303,2,458.63
CUST1282,13,39,17818.73
CUST1283,183,1,280.58
CUST1284,7,31,23904.05
CUST1285,12,37,20006.07
CUST1286,252,2,1394.93
CUST1287,67,2,8493.81
CUST1288,277,3,689.7
CUST1289,180,4,799.83
CUST1290,271,4,1466.13
CUST1291,12,25,2408.58
CUST1292,135,4,4518.61
CUST1293,18,43,1530.13
CUST1294,68,6,6716.81
CUST1295,303,3,509.5
CUST1296,10,24,21252.53
CUST1297,11,45,2163.4
CUST1298,14,30,1102.81
CUST1299,300,3,
CUST1300,154,3,8692.24
CUST1301,174,5,7095.32
CUST1302,151,5,10569.92
CUST1303,4,31,845.04
CUST1304,9,39,1298.33
CUST1305,209,1,1495.44
CUST1306,4,31,23919.37
CUST1307,11,27,800.08
CUST1308,12,39,2601.04
CUST1309,10,31,1618.0
CUST1310,73,2,9752.49
CUST1311,10,21,1818.94
CUST1312,261,4,877.9
CUST1313,288,1,808.43
CUST1314,298,4,1173.59
CUST1315,170,4,682.84
CUST1316,310,2,715.29
CUST1317,5,37,13674.06
CUST1318,13,45,2032.24
CUST1319,119,3,11780.71
CUST1320,7,39,14418.04
CUST1321,14,18,12836.01
CUST1322,180,4,1319.92
CUST1323,358,2,975.67
CUST1324,2,43,1027.51
CUST1325,16,20,2820.07
CUST1326,10,25,13303.31
CUST1327,16,37,1410.05
CUST1328,14,45,677.8
CUST1329,241,1,499.51
CUST1330,3,15,18816.68
CUST1331,4,29,16626.38
CUST1332,140,4,10020.84
CUST1333,1,41,504.68
CUST1334,344,4,554.93
CUST1335,203,1,246.45
CUST1336,164,6,9480.52
CUST1337,2,32,
CUST1338,209,3,1082.99
CUST1339,136,7,8802.89
CUST1340,6,38,1498.74
CUST1341,70,2,11497.04
CUST1342,16,35,1774.6
CUST1343,6,26,20168.92
CUST1344,276,1,963.24
CUST1345,10,25,17654.04
CUST1346,4,38,2957.82
CUST1347,151,3,6240.32
CUST1348,181,1,398.12
CUST1349,8,27,20902.05
CUST1350,9,45,1299.05
CUST1351,230,3,789.21
CUST1352,267,2,504.88
CUST1353,280,2,1010.08
CUST1354,16,34,2100.9
CUST1355,7,33,14948.21
CUST1356,212,2,1371.68
CUST1357,205,3,1345.43
CUST1358,13,27,15849.45
CUST1359,107,5,3193.84
CUST1360,4,28,2652.6
CUST1361,152,6,6737.32
CUST1362,9,46,1654.29
CUST1363,332,3,1121.69
CUST1364,68,7,11524.5
CUST1365,11,39,24040.19
CUST1366,125,3,9560.5
CUST1367,136,7,7764.29
CUST1368,93,2,11672.8
CUST1369,1,28,1107.39
CUST1370,8,30,1525.09
CUST1371,12,39,596.55
CUST1372,5,22,2652.15
CUST1373,163,5,5999.69
CUST1374,142,7,8282.98
CUST1375,184,3,1453.95
CUST1376,12,23,2635.06
CUST1377,10,19,21872.52
CUST1378,13,29,21941.43
CUST1379,4,27,2489.26
CUST1380,2,31,13109.2
CUST1381,17,31,2412.81
CUST1382,143,3,5289.27
CUST1383,67,7,5163.98
CUST1384,81,6,6887.59
CUST1385,4,24,10967.28
CUST1386,164,2,8935.53
CUST1387,16,32,2503.33
CUST1388,2,36,2121.95
CUST1389,168,5,9773.21
CUST1390,6,42,1323.65
CUST1391,11,38,1148.89
CUST1392,262,4,1113.85
CUST1393,231,4,547.19
CUST1394,264,1,815.2
CUST1395,167,2,5374.99
CUST1396,14,26,1934.49
CUST1397,10,30,19920.73
CUST1398,84,2,8265.54
CUST1399,63,6,11158.1
CUST1400,140,6,4804.79
CUST1401,199,3,1395.17
CUST1402,2,37,1453.18
CUST1403,1,49,2350.79
CUST1404,285,4,466.79
CUST1405,1,44,1589.5
CUST1406,2,42,2882.38
CUST1407,151,4,969.7
CUST1408,80,6,10437.17
CUST1409,10,44,1827.18
CUST1410,8,20,14204.76
CUST1411,2,20,24576.56
CUST1412,72,2,5122.6
CUST1413,2,44,2052.44
CUST1414,209,3,118.31
CUST1415,5,47,1640.89
CUST1416,277,2,1109.17
CUST1417,16,22,2986.34
CUST1418,220,2,1364.86
CUST1419,11,45,2900.33
CUST1420,112,7,6694.94
CUST1421,166,4,681.56
CUST1422,280,2,1124.61
CUST1423,7,29,14498.74
CUST1424,11,22,1014.54
CUST1425,12,28,19898.15
CUST1426,90,5,5445.45
CUST1427,11,35,9375.32
CUST1428,2,30,2996.61
CUST1429,15,41,2589.5
CUST1430,165,6,5476.27
CUST1431,1,31,2641.09
CUST1432,5,32,880.69
CUST1433,153,4,7841.67
CUST1434,258,1,1036.64
CUST1435,3,36,1724.97
CUST1436,5,26,1144.71
CUST1437,313,2,439.71
CUST1438,158,4,391.28
CUST1439,17,42,2717.56
CUST1440,309,2,958.13
CUST1441,17,37,2990.43
CUST1442,8,38,24645.01
CUST1443,298,2,1454.97
CUST1444,140,7,7020.1
CUST1445,89,6,7045.1
CUST1446,338,1,1392.42
CUST1447,286,3,713.07
CUST1448,134,2,5883.79
CUST1449,67,2,3827.17
CUST1450,309,2,156.17
CUST1451,16,46,
CUST1452,6,32,2304.69
CUST1453,84,5,4134.29
CUST1454,281,4,425.07
CUST1455,2,25,1007.64
CUST1456,166,1,1192.32
CUST1457,216,2,1374.57
CUST1458,2,29,
CUST1459,15,49,2117.95
CUST1460,4,37,1115.46
CUST1461,10,24,2582.93
CUST1462,6,34,23628.8
CUST1463,149,5,5092.81
CUST1464,335,3,367.08
CUST1465,8,27,9758.37
CUST1466,273,1,1066.52
CUST1467,161,2,9401.47
CUST1468,8,46,1896.23
CUST1469,1,47,2758.89
CUST1470,136,3,10522.02
CUST1471,110,6,3620.24
CUST1472,168,7,5286.77
CUST1473,3,30,24343.11
CUST1474,6,27,17838.68
CUST1475,330,1,1248.67
CUST1476,269,4,201.09
CUST1477,4,45,699.51
CUST1478,210,4,522.94
CUST1479,314,4,815.43
CUST1480,254,4,1135.02
CUST1481,3,31,12601.39
CUST1482,204,3,1261.38
CUST1483,242,3,437.93
CUST1484,8,39,2451.92
CUST1485,3,22,20932.03
CUST1486,130,5,10488.81
CUST1487,17,22,2939.5
CUST1488,158,3,717.57
CUST1489,6,43,2993.02
CUST1490,14,32,15250.03
CUST1491,309,4,1379.0
CUST1492,1,15,18478.08
CUST1493,16,25,1083.92
CUST1494,157,7,8751.14
CUST1495,331,2,439.41
CUST1496,92,4,3944.51
CUST1497,18,30,2801.96
CUST1498,7,35,16430.8
CUST1499,111,3,6098.04
CUST1500,12,32,20419.02
CUST1501,7,25,15414.03
CUST1502,14,35,1423.02
CUST1503,2,21,11296.1
CUST1504,9,37,908.73
CUST1505,179,4,256.74
CUST1506,83,7,4893.24
CUST1507,175,2,7189.95
CUST1508,5,24,1415.46
CUST1509,12,24,23241.27
CUST1510,14,44,1504.24
CUST1511,91,4,10512.63
CUST1512,7,30,13790.14
CUST1513,18,45,1077.34
CUST1514,14,30,24571.99
CUST1515,5,30,2650.93
CUST1516,14,21,1890.68
CUST1517,121,3,10041.78
CUST1518,317,3,251.39
CUST1519,3,20,16178.36
CUST1520,67,2,4786.17
CUST1521,7,49,2543.86
CUST1522,173,6,7924.0
CUST1523,87,7,11302.3
CUST1524,1,36,9878.12
CUST1525,341,1,226.92
CUST1526,4,18,9515.54
CUST1527,3,30,20764.54
CUST1528,4,27,1757.57
CUST1529,250,3,1184.17
CUST1530,143,2,11162.22
CUST1531,178,6,9002.03
CUST1532,2,44,1909.72
CUST1533,19,27,1185.13
CUST1534,233,3,1019.26
CUST1535,5,28,
CUST1536,99,3,11155.42
CUST1537,19,30,1917.28
CUST1538,6,15,16546.76
CUST1539,121,7,3478.26
CUST1540,91,7,9117.25
CUST1541,139,4,8921.95
CUST1542,7,25,14621.07
CUST1543,11,47,2512.7
CUST1544,315,4,377.03
CUST1545,116,4,
CUST1546,347,3,1010.56
CUST1547,6,25,11710.4
CUST1548,4,26,21525.32
CUST1549,172,5,11541.2
CUST1550,4,27,18899.35
CUST1551,16,30,2108.93
CUST1552,124,4,9500.01
CUST1553,133,3,8100.69
CUST1554,231,1,970.58
CUST1555,6,26,2009.96
CUST1556,120,4,5493.83
CUST1557,11,24,15822.39
CUST1558,208,4,985.68
CUST1559,83,3,4588.64
CUST1560,13,20,2687.61
CUST1561,117,3,
CUST1562,2,19,12830.44
CUST1563,104,5,7753.6
CUST1564,172,7,9213.05
CUST1565,6,44,2640.56
CUST1566,13,38,8717.74
CUST1567,139,4,4359.06
CUST1568,175,6,11275.33
CUST1569,13,27,18452.02
CUST1570,153,1,308.88
CUST1571,17,41,1070.72
CUST1572,10,39,12191.79
CUST1573,348,1,1062.12
CUST1574,111,3,11076.38
CUST1575,84,2,11335.39
CUST1576,86,6,5303.51
CUST1577,164,7,5501.28
CUST1578,2,32,1444.6
CUST1579,14,42,1728.25
CUST1580,3,31,511.74
CUST1581,19,43,787.45
CUST1582,13,24,9182.71
CUST1583,178,4,1105.07
CUST1584,181,4,629.27
CUST1585,9,18,24568.71
CUST1586,9,31,14655.8
CUST1587,150,4,1230.52
CUST1588,12,33,2601.16
CUST1589,112,3,5028.47
CUST1590,2,36,21359.73
CUST1591,9,39,20396.68
CUST1592,3,40,2760.24
CUST1593,71,6,7587.46
CUST1594,158,6,4713.82
CUST1595,3,47,1836.65
CUST1596,18,23,647.01
CUST1597,217,2,1291.61
CUST1598,5,47,1118.77
CUST1599,174,2,535.6
CUST1003,91,7,6946.34
CUST1010,12,24,1473.88
