fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.64,0.628,0.461,3.66,0.103,24.6,83.2,0.99755,3.32,0.602,11.99,6
6.99,0.1,0.34,0.5,0.072,24.1,71.8,0.99641,3.22,0.669,10.86,6
8.07,0.303,0.092,0.5,0.072,33.5,110.9,0.99466,3.08,0.451,10.57,5
9.11,0.564,0.0,1.04,0.139,49.4,91.7,0.99321,3.33,0.878,11.54,6
7.46,0.515,0.323,1.64,0.12,37.9,97.4,0.99433,3.12,0.467,8.76,4
7.18,0.62,0.349,0.5,0.078,37.7,96.8,0.99819,3.09,0.769,11.13,5
7.44,0.699,0.145,1.04,0.054,50.2,108.0,0.99979,3.24,0.414,10.23,6
7.63,0.308,0.031,1.11,0.111,14.0,133.3,0.99886,3.04,0.614,11.86,7
6.49,0.5,0.318,2.33,0.06,12.1,60.4,0.99804,3.46,0.766,10.37,5
6.12,0.371,0.605,3.93,0.035,18.6,103.9,0.99628,3.62,0.857,9.81,5
7.97,0.594,0.189,0.5,0.072,42.6,110.1,0.9983,3.3,0.439,9.48,4
7.81,0.534,0.105,0.5,0.073,16.9,80.0,0.99639,3.27,0.79,11.2,6
6.56,0.534,0.121,0.75,0.069,41.0,132.6,0.99658,3.21,0.808,8.51,4
6.07,0.43,0.359,0.5,0.098,19.6,105.5,0.99577,3.23,0.643,12.47,6
6.65,0.492,0.513,1.19,0.102,39.0,98.0,0.99526,3.4,0.835,10.43,5
8.17,0.438,0.33,0.5,0.12,40.6,81.3,0.9999,3.46,0.719,10.99,6
6.47,0.295,0.146,3.15,0.027,32.1,74.8,0.99334,3.11,0.547,8.37,3
6.46,0.187,0.42,2.81,0.075,26.4,98.0,0.99546,3.21,0.875,9.41,5
6.88,0.809,0.148,0.5,0.11,50.1,144.5,0.99373,3.27,0.401,14.41,7
7.21,0.49,0.381,2.01,0.105,47.5,150.0,0.99552,3.43,0.65,10.65,6
6.67,0.284,0.253,1.58,0.02,27.3,95.3,0.99495,3.23,0.773,11.13,6
7.48,0.541,0.396,6.31,0.01,9.1,94.1,0.99393,3.3,0.778,8.7,4
7.85,0.477,0.306,4.72,0.107,27.7,117.0,0.99954,3.49,0.879,8.09,4
6.6,0.669,0.431,3.05,0.093,60.5,109.0,0.99678,3.48,0.774,9.51,5
7.27,0.416,0.416,2.57,0.084,25.6,92.6,0.99659,3.14,0.311,11.7,6
6.85,0.394,0.275,0.87,0.128,47.3,64.4,0.9961,3.37,0.843,11.73,7
7.42,0.424,0.085,0.79,0.16,34.4,99.1,0.99399,3.28,0.722,9.36,5
7.01,0.643,0.167,2.34,0.088,50.2,60.2,0.99917,3.22,0.828,9.81,5
7.45,0.537,0.066,5.42,0.098,30.8,78.7,0.99906,3.24,0.795,10.51,6
6.34,0.724,0.542,3.14,0.088,39.9,118.5,0.99959,3.38,0.826,8.0,4
5.92,0.547,0.143,3.5,0.061,49.1,77.2,0.99418,3.05,0.684,10.73,5
8.32,0.604,0.119,5.02,0.074,54.6,118.9,0.99493,3.22,0.752,11.5,6
8.57,0.701,0.006,4.06,0.126,46.1,116.2,0.99964,3.06,0.529,11.65,6
9.41,0.68,0.437,6.41,0.055,37.7,77.1,1.00005,3.51,0.483,10.71,5
5.63,0.452,0.186,0.56,0.075,27.1,97.6,0.99784,3.26,0.751,9.92,5
6.7,0.724,0.302,1.63,0.033,1.0,60.7,0.9967,3.33,0.895,10.72,6
6.94,0.449,0.396,4.36,0.093,20.3,76.5,0.998,3.16,0.521,10.01,5
7.94,0.685,0.294,0.5,0.061,1.0,86.7,0.99831,3.45,0.675,9.03,4
7.98,0.535,0.246,2.38,0.079,13.0,105.4,0.99536,3.36,0.673,9.87,5
7.46,0.629,0.055,1.16,0.026,14.6,47.2,0.99677,3.37,0.551,10.01,6
8.56,0.869,0.441,0.5,0.064,3.7,86.3,0.99312,3.32,0.545,13.4,7
6.1,0.513,0.102,0.96,0.116,21.4,60.3,0.99788,3.14,0.806,9.67,4
6.68,0.459,0.292,3.34,0.085,20.9,82.7,0.99666,3.22,0.705,10.51,6
8.47,0.821,0.326,3.4,0.04,46.3,103.9,0.99722,3.3,0.67,10.21,5
7.33,0.559,0.558,1.42,0.09,38.7,63.3,0.99341,3.3,0.786,9.4,5
6.25,0.579,0.304,1.03,0.084,36.2,96.3,0.99771,3.27,0.483,10.92,5
6.56,0.483,0.445,1.71,0.048,51.0,83.3,0.9974,3.33,0.926,8.84,4
7.29,0.48,0.087,0.98,0.088,46.0,114.6,0.99561,3.26,0.623,9.77,4
7.33,0.737,0.283,4.17,0.061,11.9,73.9,0.99956,3.19,0.651,10.57,5
7.27,0.625,0.316,1.28,0.044,12.0,59.4,0.99524,3.35,0.539,10.89,6
7.22,0.494,0.214,5.83,0.131,27.8,109.5,0.996,3.19,0.693,11.78,6
7.19,0.716,0.062,2.14,0.084,37.7,119.0,0.99599,3.27,0.495,11.58,6
7.05,0.492,0.169,1.84,0.028,33.0,117.8,0.99304,3.39,0.622,8.32,4
5.72,0.421,0.148,1.38,0.102,36.6,116.9,0.99618,2.96,0.562,12.77,7
7.44,0.228,0.366,0.5,0.04,39.8,122.2,0.99736,3.29,0.301,10.07,6
9.01,0.505,0.021,1.13,0.073,37.2,72.0,0.99943,2.99,0.665,15.0,8
5.01,0.436,0.148,1.25,0.097,43.9,130.4,0.99991,3.35,0.765,12.67,7
9.54,0.213,0.387,0.5,0.043,1.0,50.5,0.99796,3.15,0.912,9.59,5
8.52,0.37,0.015,0.5,0.107,27.6,69.5,0.99748,3.21,0.408,10.28,6
8.39,0.347,0.243,0.68,0.078,35.3,83.5,0.99507,3.33,0.6,11.03,6
7.12,0.511,0.343,9.02,0.1,45.3,122.9,0.99649,3.19,0.597,13.13,7
6.32,0.758,0.214,0.5,0.06,23.8,103.5,0.99498,3.41,0.723,11.25,6
7.48,0.392,0.377,2.5,0.059,1.0,85.9,0.99586,3.35,0.644,9.9,5
7.95,0.377,0.284,2.27,0.171,27.3,74.0,0.99795,3.3,0.812,10.69,6
5.77,0.487,0.142,1.22,0.094,41.7,99.0,0.99818,3.21,0.41,10.37,5
6.69,0.332,0.362,1.25,0.055,4.3,64.2,0.99347,3.55,0.554,10.48,5
8.38,0.48,0.57,0.8,0.069,11.4,92.5,0.99648,3.12,0.675,11.33,7
7.0,0.516,0.339,1.04,0.09,33.8,106.2,0.99935,3.64,0.448,11.7,7
8.41,0.843,0.387,0.5,0.118,19.2,75.1,0.99689,3.2,0.535,11.21,5
7.41,0.474,0.074,0.56,0.085,60.8,94.1,0.99297,3.42,0.532,9.11,5
5.24,0.445,0.272,3.18,0.02,53.6,126.4,0.99565,3.31,0.643,9.48,5
6.36,0.554,0.264,3.55,0.096,29.4,63.1,0.99865,3.34,0.616,10.3,5
7.86,0.164,0.456,6.83,0.06,25.9,78.7,0.99612,3.08,0.57,10.58,5
6.79,0.573,0.182,4.87,0.12,19.9,113.2,0.99921,3.16,0.888,9.73,5
5.58,0.532,0.204,0.8,0.087,56.7,89.0,0.99715,3.34,0.681,11.43,6
8.43,0.176,0.262,0.5,0.144,15.4,88.1,0.99667,3.37,0.659,9.76,5
8.2,0.495,0.31,4.35,0.085,56.9,140.8,0.99787,3.1,0.856,9.76,5
5.42,0.567,0.564,2.73,0.171,24.2,99.2,0.99288,3.58,0.747,9.43,4
6.58,0.481,0.116,1.33,0.07,22.9,34.4,0.99525,3.35,0.551,10.7,6
6.19,0.186,0.113,4.18,0.065,1.0,87.6,0.99574,3.2,0.668,9.4,5
6.79,0.614,0.531,8.23,0.141,8.6,74.9,0.99714,3.2,0.648,11.15,6
9.69,0.549,0.344,4.21,0.085,1.0,114.7,0.99778,3.39,0.895,10.67,5
7.11,0.6,0.361,2.87,0.053,17.4,82.2,0.99712,3.12,0.838,11.11,6
8.7,0.386,0.214,0.5,0.133,32.0,92.5,0.99789,3.37,0.804,10.3,5
6.02,0.633,0.131,1.21,0.079,48.2,146.6,0.99673,3.15,0.453,10.01,4
8.46,0.543,0.244,1.19,0.104,22.4,89.5,0.99727,3.31,0.742,9.54,6
8.48,0.349,0.024,0.5,0.126,65.0,115.5,0.99966,3.12,0.499,10.96,6
6.94,0.496,0.351,2.46,0.08,31.1,71.7,0.99694,3.54,0.774,11.74,7
6.41,0.211,0.406,4.48,0.09,27.1,77.5,0.9971,3.39,0.713,12.35,6
6.59,0.709,0.235,1.44,0.117,45.5,92.4,0.99534,3.27,0.756,10.5,5
7.69,0.541,0.296,0.56,0.146,38.5,56.8,0.99839,3.11,0.792,9.0,4
5.07,0.315,0.26,2.35,0.087,23.5,62.5,0.99664,3.28,0.521,9.26,5
8.76,0.515,0.233,1.01,0.108,16.4,57.9,0.99862,3.31,0.767,11.4,6
8.57,0.262,0.247,0.5,0.089,49.9,83.9,0.99961,3.29,0.758,10.74,5
7.56,0.53,0.102,1.44,0.076,29.7,98.4,0.99623,3.3,0.589,9.24,4
8.13,0.389,0.263,1.42,0.034,36.3,91.0,0.99543,3.12,0.853,11.34,6
8.08,0.819,0.174,2.79,0.052,52.5,132.6,0.99552,3.28,0.689,13.24,6
6.43,0.467,0.319,1.65,0.084,12.3,78.0,0.99765,3.22,0.739,8.62,4
6.47,0.415,0.237,3.47,0.09,51.9,87.7,0.99612,3.32,0.565,11.03,6
8.0,0.275,0.344,11.23,0.11,4.3,52.3,0.99552,3.43,0.593,10.25,5
6.69,0.56,0.209,4.42,0.096,26.4,96.2,0.99807,3.21,0.441,10.09,5
7.43,0.644,0.237,2.54,0.109,49.1,165.9,0.99626,3.28,0.847,9.38,4
5.84,0.649,0.424,0.5,0.083,11.9,89.0,0.99887,3.28,0.58,8.0,4
6.4,0.586,0.453,0.5,0.022,41.5,66.9,0.99708,3.68,0.438,8.56,4
7.46,0.251,0.121,0.5,0.073,18.1,99.7,0.99724,3.27,0.476,10.33,5
6.66,0.518,0.647,5.88,0.105,40.3,137.9,0.99615,3.47,0.672,8.89,5
9.86,0.521,0.241,1.28,0.108,48.3,124.0,0.99656,3.23,1.048,8.85,4
8.16,0.441,0.483,1.14,0.058,38.0,69.0,0.99537,3.31,0.853,13.47,8
6.16,0.714,0.127,5.38,0.081,17.2,56.6,0.99517,3.2,0.589,9.19,4
6.8,0.805,0.435,0.5,0.093,38.1,68.1,0.99451,3.4,0.718,12.83,7
5.46,0.625,0.272,2.39,0.038,30.4,121.5,0.99716,3.35,0.89,9.19,5
8.55,0.182,0.116,0.86,0.033,20.3,69.9,0.99528,3.48,0.448,9.57,5
6.28,0.653,0.462,9.22,0.111,17.9,62.2,0.9949,3.32,0.747,10.47,5
7.36,0.77,0.238,0.5,0.085,52.0,111.2,0.9954,2.97,0.5,11.92,6
7.28,0.437,0.474,1.06,0.079,15.2,87.8,0.99813,3.45,0.615,11.22,6
8.69,0.595,0.406,0.57,0.081,24.0,86.7,0.99698,3.25,0.797,10.27,6
8.0,0.728,0.167,1.36,0.064,24.1,114.3,0.99812,3.38,0.674,11.3,6
6.76,0.1,0.313,1.49,0.104,14.0,109.2,0.99622,3.4,0.918,12.59,7
7.01,0.238,0.175,7.47,0.086,9.2,97.7,0.99552,3.12,0.434,10.81,6
7.59,0.309,0.363,0.5,0.071,19.2,61.0,0.99244,3.2,0.889,11.08,6
6.84,0.675,0.067,0.5,0.115,47.1,136.5,0.99985,3.36,0.602,8.56,4
7.18,0.348,0.466,1.32,0.106,30.4,124.7,0.99359,3.36,0.512,9.51,5
6.05,0.565,0.156,1.03,0.075,43.8,106.2,0.99876,3.16,0.692,11.17,6
7.26,0.436,0.122,1.18,0.087,68.2,108.4,0.99614,3.27,0.493,12.58,7
6.4,0.694,0.192,1.83,0.078,46.1,136.8,0.99634,3.37,0.354,8.28,4
7.63,0.358,0.337,2.01,0.089,30.1,85.2,0.99873,3.21,0.689,10.8,5
6.96,0.404,0.46,2.71,0.124,32.4,100.2,0.99595,3.16,0.691,11.27,6
6.39,0.436,0.515,3.63,0.083,35.6,113.6,0.99766,3.39,0.825,11.85,6
8.02,0.44,0.412,4.82,0.063,47.0,92.8,0.99734,3.09,0.553,8.72,4
7.32,0.739,0.458,0.78,0.069,16.0,64.9,0.99522,3.33,0.764,9.33,5
6.14,0.518,0.131,4.28,0.09,25.2,80.7,0.99786,3.64,0.631,11.13,6
6.4,0.224,0.414,1.14,0.052,37.2,61.6,0.996,3.33,0.623,9.03,5
6.16,0.415,0.459,3.83,0.118,15.8,93.7,0.99642,3.24,0.627,10.43,5
5.86,0.698,0.275,1.98,0.026,39.3,81.9,0.99714,3.4,0.507,10.42,6
8.75,0.937,0.192,1.26,0.057,15.4,89.4,0.99722,3.26,0.867,11.06,5
6.65,0.787,0.08,5.29,0.046,49.9,78.5,0.99531,3.33,0.751,10.02,5
7.71,0.266,0.169,3.5,0.044,30.4,94.9,0.99591,3.31,0.595,11.18,6
7.42,0.42,0.093,2.55,0.036,38.6,129.0,0.99508,3.52,0.79,10.6,5
7.05,0.642,0.028,0.5,0.019,22.9,109.5,0.99774,3.2,0.556,11.72,6
8.63,0.336,0.262,0.91,0.081,35.1,102.4,0.99786,3.27,0.845,10.53,5
4.51,0.558,0.314,0.74,0.104,27.3,82.0,0.99403,3.34,0.445,9.56,5
6.31,0.455,0.263,0.6,0.053,19.2,31.3,0.99588,3.06,0.477,10.91,6
9.03,0.1,0.312,5.68,0.066,27.9,69.4,0.99621,3.44,0.58,10.66,6
5.51,0.585,0.319,1.05,0.067,38.1,94.2,0.99637,3.32,0.91,10.32,5
7.4,0.749,0.393,5.89,0.076,19.3,81.2,0.99867,3.32,0.565,12.35,6
8.34,0.6,0.069,2.4,0.067,40.7,94.7,0.99393,3.24,0.657,10.52,5
7.42,0.39,0.204,6.23,0.06,5.1,82.4,0.99625,3.33,0.889,10.04,5
6.46,0.408,0.292,1.0,0.103,51.5,107.9,0.99803,3.23,0.623,9.52,4
7.17,0.766,0.4,4.82,0.059,25.4,122.1,0.99785,3.15,0.551,8.01,3
7.58,0.437,0.385,1.02,0.066,36.6,83.5,0.99918,3.22,0.775,10.1,6
5.79,0.664,0.285,3.87,0.078,29.2,81.5,0.99281,3.24,0.621,10.23,4
8.17,0.6,0.345,4.38,0.103,38.9,89.9,0.99412,3.25,0.732,11.17,6
6.38,0.393,0.114,2.04,0.059,25.8,132.8,0.99547,3.22,0.558,10.27,5
7.36,0.705,0.442,0.5,0.067,24.6,45.3,1.00143,3.56,0.428,9.16,4
6.97,0.446,0.489,1.75,0.114,31.4,128.4,0.99543,3.38,0.538,10.85,5
6.27,0.616,0.301,0.71,0.027,48.4,97.8,0.99528,3.39,0.778,10.26,5
6.08,0.745,0.189,0.5,0.035,25.4,72.7,0.9958,3.44,0.751,10.09,5
9.68,0.567,0.276,2.15,0.032,44.2,123.8,0.99859,3.44,0.825,12.09,6
5.21,0.446,0.283,0.5,0.102,26.8,57.6,0.99486,3.49,0.546,11.08,6
6.58,0.367,0.26,3.32,0.105,42.5,108.8,0.99596,3.24,0.78,11.19,6
8.79,0.766,0.283,0.54,0.078,58.2,108.1,0.99762,3.32,0.431,9.81,4
5.76,0.191,0.223,3.15,0.097,27.4,74.5,0.99518,3.57,0.592,9.07,5
6.29,0.333,0.251,5.88,0.095,47.2,129.2,0.99885,3.46,0.713,10.05,5
8.64,0.576,0.351,1.32,0.111,18.7,95.2,0.99224,3.15,0.881,10.02,5
7.68,0.594,0.0,1.12,0.068,21.4,76.1,0.99964,3.48,0.59,10.44,5
8.98,0.674,0.207,0.5,0.068,23.0,79.5,0.99648,3.27,0.63,11.46,6
7.11,0.584,0.355,2.69,0.111,32.6,126.8,0.99631,3.5,0.681,11.41,5
6.34,0.201,0.073,0.99,0.107,29.2,144.1,0.99836,3.47,0.761,11.06,6
6.05,0.594,0.293,2.36,0.103,16.2,120.9,0.99703,3.4,0.495,11.25,5
7.44,0.651,0.318,4.06,0.058,37.1,53.7,1.00057,3.11,0.58,9.32,5
7.2,0.609,0.277,1.39,0.098,29.2,97.1,0.99501,3.26,0.653,11.99,6
8.67,0.54,0.456,5.85,0.087,22.9,104.7,0.99521,3.12,0.893,10.54,5
7.42,0.466,0.266,0.5,0.09,34.5,44.5,0.99843,3.39,0.561,10.98,6
6.52,0.295,0.0,7.77,0.095,43.6,126.3,0.99511,3.31,0.464,11.49,6
8.22,0.188,0.315,0.5,0.106,33.1,75.8,0.99713,3.33,0.815,10.46,6
9.48,0.257,0.165,2.24,0.122,47.2,143.7,0.99691,3.07,0.728,8.47,4
6.99,0.548,0.529,1.45,0.025,17.2,102.9,0.99629,3.22,0.594,9.4,5
7.64,0.583,0.212,0.61,0.05,39.9,113.8,0.99386,3.44,0.591,11.12,6
8.02,0.356,0.11,0.83,0.045,43.8,122.5,0.99849,3.46,0.355,9.52,5
6.74,0.831,0.569,0.5,0.119,19.4,53.3,0.99644,3.42,0.693,8.16,4
7.67,0.654,0.435,1.75,0.063,1.0,77.7,0.99873,3.17,0.908,10.41,6
7.34,0.56,0.325,0.82,0.081,32.8,93.3,0.99645,3.33,0.557,8.49,4
6.24,0.436,0.408,3.36,0.077,1.5,52.5,0.99699,3.11,0.529,10.65,6
6.68,0.412,0.05,2.11,0.11,35.4,119.6,0.99519,2.99,0.79,9.85,5
7.25,0.382,0.599,0.5,0.09,46.0,110.2,0.99571,3.35,0.507,11.77,6
6.23,0.121,0.256,0.71,0.098,19.6,103.5,0.99308,3.28,0.736,9.18,4
6.43,0.619,0.342,1.43,0.118,32.6,118.5,0.9982,3.37,0.822,9.07,4
6.54,0.513,0.295,3.93,0.035,10.3,34.9,0.99706,3.21,0.478,11.76,6
7.95,0.489,0.422,0.74,0.028,32.7,98.7,0.9959,3.38,0.749,8.99,4
6.68,0.547,0.298,2.91,0.067,29.9,77.7,0.99626,3.03,0.675,11.38,6
5.46,0.882,0.619,0.5,0.077,21.6,67.8,0.9965,3.2,0.877,11.17,6
6.8,0.636,0.365,3.62,0.062,43.3,124.4,0.99638,3.43,0.802,14.43,8
7.65,0.677,0.312,0.5,0.109,23.8,101.6,0.99673,3.61,0.614,9.28,4
6.37,0.519,0.468,1.38,0.073,17.9,100.5,0.99839,3.62,0.623,11.12,6
7.1,0.308,0.107,0.6,0.053,25.3,131.0,0.99666,3.17,0.84,8.55,4
5.55,0.204,0.301,0.5,0.095,29.3,119.2,0.99624,3.18,0.828,11.17,6
6.53,0.636,0.0,6.31,0.028,49.1,154.2,0.99683,3.3,0.736,8.74,4
7.86,0.489,0.15,0.74,0.061,38.7,93.8,0.99775,3.27,0.755,10.52,5
7.62,0.211,0.241,1.37,0.136,34.1,95.8,0.99781,3.2,0.629,10.58,6
8.57,0.411,0.217,0.65,0.179,39.1,126.2,0.99523,3.12,0.584,11.64,6
7.03,0.351,0.462,1.36,0.098,28.0,68.0,0.99738,3.17,0.718,10.3,5
6.74,0.367,0.302,5.72,0.06,22.2,72.6,0.99305,3.31,0.546,10.74,5
7.06,0.346,0.324,5.91,0.025,10.5,30.0,0.99711,3.49,0.762,10.59,6
8.12,0.588,0.061,0.5,0.045,13.8,89.7,0.99565,3.35,0.445,10.58,6
8.15,0.843,0.202,4.2,0.068,13.8,63.4,0.9984,3.35,0.807,9.52,3
6.96,0.492,0.413,4.63,0.109,58.8,87.5,0.99266,3.18,0.657,11.18,6
7.05,0.41,0.472,2.53,0.038,30.9,103.6,0.99805,3.33,0.536,10.06,5
5.98,0.452,0.229,0.5,0.069,28.4,114.3,0.99682,3.22,0.563,10.9,6
5.71,0.542,0.539,2.3,0.112,21.9,109.4,0.99467,3.07,0.617,9.3,4
6.27,0.439,0.1,2.88,0.025,39.2,82.5,0.9962,3.46,0.606,10.41,5
5.47,0.258,0.397,1.85,0.078,37.9,94.8,0.99654,3.28,0.883,11.03,6
8.56,0.349,0.0,6.81,0.097,17.0,56.5,0.99409,3.34,0.565,10.21,5
9.22,0.327,0.049,1.91,0.068,25.3,70.8,0.99365,3.06,0.808,9.68,5
5.84,0.565,0.572,1.23,0.11,26.8,126.2,0.99793,3.35,0.59,9.05,5
7.13,0.451,0.021,2.87,0.104,52.6,120.3,0.99514,3.24,0.839,10.09,5
6.61,0.158,0.54,5.25,0.047,49.9,73.7,0.99512,3.6,0.528,10.24,5
6.23,0.464,0.421,1.99,0.099,28.4,80.0,0.99516,3.57,0.537,10.6,5
6.85,0.345,0.532,4.47,0.075,7.9,57.6,0.99846,3.33,0.565,9.73,5
7.93,0.423,0.29,1.02,0.104,10.2,83.1,0.99478,3.39,0.815,11.45,6
9.18,0.869,0.17,0.67,0.066,56.1,117.4,0.99753,3.19,0.3,11.29,5
5.59,0.479,0.392,0.82,0.101,35.9,45.9,0.99677,3.13,0.67,10.88,6
8.11,0.785,0.292,1.39,0.08,42.4,70.6,0.99603,3.31,0.752,10.34,5
7.46,0.331,0.0,0.5,0.062,17.0,83.0,0.99929,3.42,0.577,10.11,6
8.92,0.36,0.38,1.2,0.121,21.0,87.1,0.99577,3.29,0.545,10.37,4
7.74,0.363,0.242,0.69,0.05,6.0,16.0,0.99449,3.36,0.755,10.49,6
6.18,0.462,0.522,6.4,0.088,27.8,99.1,0.99388,3.17,0.722,8.69,4
6.25,0.57,0.053,6.45,0.074,31.9,57.1,0.99567,3.15,0.468,10.07,5
