TransactionID,Amount,Hour,TransactionsLast24h,DistanceFromHome,IsForeignTxn,IsOnline,Class
74,41.59,15,0,6.3,0,1,0
75,41.16,11,3,6.2,0,0,0
76,143.93,19,4,7.9,0,0,0
77,5.79,18,4,9.1,0,1,0
78,5.56,16,5,0.3,0,1,0
79,37.47,15,1,12.5,0,1,0
80,69.13,19,5,42.9,0,0,0
81,41.89,21,5,7.0,0,1,0
82,24.67,14,3,4.8,0,1,0
83,8.6,15,4,0.6,0,0,0
84,40.83,19,2,12.5,0,1,0
85,66.25,12,3,0.9,0,1,0
86,9.46,18,2,2.6,0,0,0
87,76.11,16,3,2.3,0,0,0
88,67.92,10,2,1.5,0,0,0
89,16.2,20,5,5.5,1,1,0
90,133.66,15,5,2.1,0,0,0
91,60.41,18,1,4.5,0,1,0
92,33.04,23,2,22.6,0,0,0
93,99.69,3,6,1.2,0,1,0
94,18.9,9,0,2.1,0,0,0
95,166.8,20,4,3.0,1,0,0
96,10.72,14,3,3.3,0,1,0
97,10.81,11,4,16.6,0,0,0
98,2.16,10,1,10.0,0,0,0
99,149.8,19,2,4.0,0,1,0
100,92.84,20,2,27.2,0,1,0
101,108.23,7,2,2.4,0,1,0
102,44.2,15,4,8.7,0,0,0
103,62.55,16,2,3.7,0,1,0
104,7.32,16,7,5.1,0,0,0
105,67.04,17,4,6.1,0,1,0
106,49.22,14,3,4.4,0,1,0
107,17.36,18,3,17.2,0,1,0
108,50.45,13,2,36.4,0,1,0
109,18.77,10,1,9.5,0,0,0
110,16.53,13,2,17.4,1,1,0
111,16.9,9,2,25.4,0,1,0
112,58.35,18,4,5.3,0,1,0
113,113.01,13,1,1.7,0,1,0
114,47.11,19,4,9.0,0,0,0
115,202.68,16,5,12.7,0,1,0
116,79.17,18,0,2.4,0,1,0
117,25.59,11,2,3.2,0,1,0
118,91.61,10,2,8.8,0,1,0
119,12.53,6,9,0.6,0,0,0
120,2.68,19,1,2.9,0,0,0
121,56.7,5,5,12.7,0,1,0
122,6.35,11,4,3.4,0,0,0
123,185.24,12,1,3.6,0,0,0
124,14.29,17,6,0.1,0,0,0
125,10.05,18,3,7.7,0,0,0
126,1.37,9,2,12.9,0,1,0
127,4.6,17,3,10.4,0,0,0
128,55.97,8,3,4.2,0,1,0
129,13.86,13,4,1.7,0,1,0
130,28.35,10,5,3.0,0,1,0
131,38.69,23,6,5.1,0,1,0
132,48.97,18,7,1.3,0,1,0
133,31.48,8,3,13.0,0,1,0
134,7.42,13,4,7.4,0,0,0
135,14.01,11,5,6.2,0,1,0
136,98.05,10,3,3.9,0,0,0
137,41.58,9,3,0.3,0,1,0
138,24.18,10,4,0.5,0,1,0
139,16.16,13,6,15.3,0,0,0
140,16.42,14,1,8.8,0,0,0
141,101.19,16,1,1.2,0,0,0
142,5.31,13,4,5.1,0,1,0
143,137.47,15,2,6.9,0,1,0
144,90.29,4,4,12.4,0,1,0
145,89.6,15,5,3.0,0,0,0
146,78.38,19,8,2.8,0,0,0
147,120.73,16,0,2.1,0,0,0
148,2.86,14,1,5.5,0,0,0
149,16.45,14,2,10.4,0,0,0
150,2.35,8,1,13.7,0,0,0
151,51.92,7,3,1.5,0,1,0
152,1.0,18,2,6.7,0,0,0
153,101.93,13,6,2.6,0,1,0
154,67.21,14,3,2.2,0,0,0
155,3.83,11,5,8.6,0,0,0
156,72.33,14,2,20.5,0,1,0
157,22.03,8,1,0.2,0,0,0
158,19.04,8,4,0.5,0,0,0
159,164.12,1,2,2.7,0,0,0
160,140.75,11,3,24.5,0,1,0
161,33.55,1,3,2.0,0,0,0
162,17.79,18,4,19.3,0,1,0
163,23.46,14,3,3.5,0,1,0
164,67.63,17,2,1.6,0,1,0
165,120.53,20,3,8.5,0,1,0
166,9.87,14,3,4.6,0,0,0
167,174.28,19,2,1.3,0,1,0
168,15.89,19,3,5.4,0,0,0
169,22.77,15,1,5.1,0,0,0
170,58.38,16,5,9.7,0,1,0
171,31.61,13,1,10.5,0,0,0
172,168.78,9,3,0.4,0,1,0
173,242.37,22,4,1.1,0,0,0
174,2007.13,3,7,88.7,0,1,1
175,25.05,16,4,1.7,0,1,0
176,55.84,15,6,1.6,0,1,0
177,33.85,11,1,0.1,0,1,0
178,6.19,7,4,19.9,0,0,0
179,141.5,15,4,0.4,0,1,0
180,92.35,17,3,18.8,0,1,0
181,30.43,8,6,2.4,0,1,0
182,28.21,15,6,8.2,0,1,0
183,16.72,20,3,4.2,0,0,0
184,84.48,7,0,7.6,0,1,0
185,8.94,19,1,2.2,0,0,0
186,47.27,20,2,28.7,0,0,0
187,93.9,12,1,8.9,0,1,0
188,133.71,18,3,4.1,0,0,0
189,1.2,17,4,0.3,0,0,0
190,22.89,9,1,13.5,0,0,0
191,18.49,0,6,7.9,0,0,0
192,3.15,10,3,7.9,0,1,0
193,16.69,8,1,4.4,0,0,0
194,32.44,12,1,14.8,0,1,0
195,10.76,9,5,17.5,1,0,0
196,5.22,21,8,18.3,0,0,0
197,68.7,17,2,6.2,0,0,0
198,103.25,17,5,8.1,0,0,0
199,137.74,8,4,9.2,0,0,0
200,85.96,8,1,3.3,0,0,0
201,115.7,8,3,15.3,0,1,0
202,3.97,16,8,6.4,1,1,0
203,4.66,16,1,4.4,0,1,0
204,102.28,17,3,2.5,0,0,0
205,7.58,13,1,0.7,0,1,0
206,6.72,16,2,10.7,0,0,0
207,169.64,21,2,11.3,0,1,0
208,147.49,18,2,5.2,0,0,0
209,7.34,13,5,6.3,0,0,0
210,96.94,10,0,8.6,1,0,0
211,42.85,9,5,3.5,0,1,0
212,84.87,9,1,1.4,0,1,0
213,12.41,9,2,1.4,0,0,0
214,35.87,15,6,2.1,0,1,0
215,152.36,5,2,3.8,1,1,0
216,42.41,15,8,21.8,0,0,0
217,40.8,8,3,0.6,0,1,0
218,28.99,9,5,8.5,0,1,0
219,19.84,14,2,3.8,0,1,0
220,125.67,20,2,9.4,0,0,0
221,13.69,11,2,0.2,0,1,0
222,46.16,10,4,7.2,0,0,0
223,31.57,8,1,9.1,1,0,0
224,1.0,17,6,23.0,0,0,0
225,19.85,10,6,5.0,0,1,0
226,48.5,6,2,20.7,0,1,0
227,24.59,16,3,22.8,0,1,0
228,112.24,10,5,5.1,0,0,0
229,13.57,11,6,25.7,0,0,0
230,38.34,9,6,2.7,0,0,0
231,60.11,15,6,39.3,0,1,0
232,2.71,15,3,0.9,0,1,0
233,8.71,1,1,0.8,0,0,0
234,150.2,16,2,0.2,0,0,0
235,153.0,6,2,17.2,0,1,0
236,5.11,12,4,9.5,1,1,0
237,18.42,17,5,10.3,0,1,0
238,54.45,9,3,2.8,0,0,0
239,182.16,8,5,9.3,0,0,0
240,122.43,10,3,23.4,0,0,0
241,194.12,23,7,0.8,1,1,1
242,72.58,10,2,15.6,0,1,0
243,33.17,7,4,8.1,0,0,0
244,25.86,11,0,13.1,0,1,0
245,43.34,10,1,0.3,0,1,0
246,36.79,17,1,1.8,0,1,0
247,33.38,13,5,4.0,0,1,0
248,46.7,17,4,22.6,0,1,0
249,6.22,15,3,0.8,0,0,0
250,265.05,11,2,0.7,0,0,0
251,52.22,15,3,1.0,0,1,0
252,89.13,11,5,60.4,0,0,0
253,3.69,2,4,2.5,0,0,0
254,236.72,15,3,2.4,0,1,0
255,96.41,17,2,0.3,0,0,0
256,2.95,18,3,2.8,0,1,0
257,80.45,5,3,2.8,0,0,0
258,4.07,20,5,1.7,0,0,0
259,48.59,9,4,11.2,0,1,0
260,40.9,15,2,9.0,0,0,0
261,79.67,10,2,1.4,0,0,0
262,17.11,5,8,2.5,0,0,0
263,68.61,14,3,4.4,0,1,0
264,39.69,19,3,14.2,0,1,0
265,9.6,21,5,9.2,1,0,0
266,91.17,11,1,10.2,0,0,0
267,1.0,13,3,3.9,0,1,0
268,23.5,17,2,10.4,0,0,0
269,130.25,4,1,8.0,0,0,0
270,34.08,19,2,1.3,0,0,0
271,22.92,20,2,10.2,0,1,0
272,61.25,19,6,31.2,0,0,0
273,1.48,1,3,2.3,1,1,0
274,187.84,9,2,20.3,0,1,0
275,12.64,16,1,4.7,0,1,0
276,58.68,21,3,5.2,0,1,0
277,14.85,7,2,24.5,0,1,0
278,1.0,14,4,0.5,0,1,0
279,15.66,12,6,7.8,1,1,0
280,69.62,3,14,40.9,0,1,1
281,15.48,21,2,1.7,0,1,0
282,392.34,14,13,55.8,1,1,1
283,197.35,9,6,7.2,0,0,0
284,11.14,10,4,14.1,0,1,0
285,43.81,3,5,10.7,0,1,0
286,6.09,16,3,5.7,0,1,0
287,11.2,10,4,1.0,0,1,0
288,46.21,7,0,6.2,0,0,0
289,25.9,14,3,0.5,0,0,0
290,46.94,21,3,5.7,0,1,0
291,31.02,22,0,8.8,0,0,0
292,143.23,12,4,21.4,0,0,0
293,19.45,10,3,4.9,0,0,0
294,215.09,14,0,11.4,0,1,0
295,33.18,0,0,17.1,0,1,0
296,7.15,7,4,22.7,0,0,0
297,50.53,14,4,9.1,0,1,0
298,45.15,11,4,15.8,0,1,0
299,60.4,7,4,2.2,1,0,0
300,69.49,8,2,13.5,0,0,0
301,91.39,9,2,12.2,0,0,0
302,11.58,8,4,3.2,0,1,0
303,86.91,13,1,3.1,0,1,0
304,15.86,19,1,12.8,0,1,0
305,297.54,11,3,13.4,0,1,0
306,34.04,14,3,1.1,1,1,0
307,1.96,12,1,5.6,0,0,0
308,148.68,10,0,10.6,0,1,0
309,26.76,3,3,3.5,0,1,0
310,1.48,15,6,17.3,1,1,0
311,140.41,8,4,1.8,0,1,0
312,83.92,7,2,3.2,0,1,0
313,77.86,11,1,12.2,0,1,0
314,46.1,9,1,3.3,0,0,0
315,21.21,12,5,20.4,1,0,0
316,23.42,17,3,21.3,0,0,0
317,49.73,19,2,13.8,0,0,0
318,44.45,13,1,9.0,0,0,0
319,33.68,9,5,13.3,0,0,0
320,5.18,8,3,4.3,0,1,0
321,126.3,17,8,14.9,0,0,0
322,25.14,15,4,18.6,0,0,0
323,15.37,13,5,13.7,0,0,0
324,136.86,15,0,17.7,0,0,0
325,56.74,13,2,7.4,0,0,0
326,33.94,20,4,2.6,0,1,0
327,176.3,15,2,6.4,0,1,0
328,29.31,17,3,28.0,0,1,0
329,53.96,22,3,2.5,0,0,0
330,44.8,9,1,2.6,0,0,0
331,82.96,3,8,43.9,0,0,1
332,68.54,8,2,4.9,0,1,0
333,74.48,20,4,15.0,0,0,0
334,58.99,14,5,21.9,0,1,0
335,27.05,18,2,1.1,0,1,0
336,33.82,18,6,4.8,0,0,0
337,170.01,9,1,7.8,0,0,0
338,60.54,11,4,4.8,0,0,0
339,526.03,3,10,55.2,0,1,1
340,33.09,8,3,0.5,0,1,0
341,35.99,22,5,0.2,0,0,0
342,62.22,9,4,8.8,0,0,0
343,17.21,16,5,0.1,0,0,0
344,173.44,22,3,0.8,0,0,0
345,101.63,12,6,2.2,0,0,0
346,7.9,2,5,38.8,0,1,0
347,60.35,19,4,3.2,0,0,0
348,57.87,9,2,6.2,0,1,0
349,19.79,12,4,0.9,0,1,0
350,10.19,18,4,1.7,0,1,0
351,31.98,18,3,2.5,0,0,0
352,25.03,19,1,2.2,1,1,0
353,17.73,23,4,22.9,1,0,0
354,31.02,17,2,6.6,0,0,0
355,28.54,17,3,16.7,1,1,0
356,2.14,9,4,0.1,0,0,0
357,31.34,22,2,4.1,0,0,0
358,2.78,12,7,0.9,1,0,0
359,116.16,14,0,6.0,0,0,0
360,206.65,14,4,2.4,0,0,0
361,52.2,4,4,3.3,0,0,0
362,76.94,19,2,4.8,0,1,0
363,39.38,14,2,1.7,0,0,0
364,22.09,9,4,8.9,0,1,0
365,25.25,12,4,8.6,0,1,0
366,81.75,10,3,5.9,0,1,0
367,44.68,11,2,0.0,0,1,0
368,127.86,19,5,0.1,0,0,0
369,46.53,22,6,12.2,0,1,0
370,62.02,11,1,20.4,0,1,0
371,101.98,8,1,27.1,0,0,0
372,8.61,19,3,3.3,0,0,0
373,65.89,13,2,5.3,0,0,0
374,55.44,15,4,0.9,0,0,0
375,32.04,9,3,1.2,0,1,0
376,18.18,14,2,2.0,0,1,0
377,75.06,11,2,8.3,0,0,0
378,1.0,19,2,3.3,0,1,0
379,63.0,7,2,3.6,0,1,0
380,7.23,10,1,0.3,0,0,0
381,16.6,16,4,0.0,0,0,0
382,16.05,7,5,7.3,0,1,0
383,69.84,10,4,11.8,0,1,0
384,17.52,14,1,24.1,0,0,0
385,36.45,18,1,18.9,0,1,0
386,36.57,12,0,19.0,0,0,0
387,121.08,19,3,0.7,0,0,0
388,57.07,22,0,4.6,0,1,0
389,43.19,6,3,5.6,0,1,0
390,51.42,16,4,22.5,0,1,0
391,25.42,10,2,14.9,0,1,0
392,33.89,9,5,6.1,0,1,0
393,58.66,18,2,19.6,0,1,0
394,23.9,12,7,3.7,0,0,0
395,21.04,16,3,3.3,0,0,0
396,24.83,16,3,3.0,0,1,0
397,3.24,7,2,3.7,0,0,0
398,246.34,21,2,16.5,1,1,0
399,20.6,11,2,0.0,0,0,0
400,33.94,9,1,5.9,0,1,0
401,2.55,8,3,5.7,0,0,0
402,37.55,10,5,2.7,0,0,0
403,226.41,14,4,5.9,1,1,0
404,11.18,18,4,4.8,0,1,0
405,6.11,13,4,53.2,0,1,0
406,60.86,7,3,21.6,0,1,0
407,73.04,17,6,1.0,0,0,0
408,20.68,8,3,8.4,0,0,0
409,79.91,21,3,1.9,0,0,0
410,110.53,16,4,10.1,0,1,0
411,84.79,7,6,18.9,0,0,0
412,117.5,16,2,13.4,0,1,0
413,16.7,2,4,2.0,0,1,0
414,222.97,18,0,29.8,0,0,0
415,38.78,15,2,0.7,0,0,0
416,20.86,19,3,5.9,0,1,0
417,8.94,12,3,8.6,0,0,0
418,172.53,19,1,16.5,1,1,0
419,6.06,18,4,5.7,0,0,0
420,57.8,9,2,3.1,0,0,0
421,53.17,11,2,0.9,0,1,0
422,1.0,17,5,2.3,0,1,0
423,7.16,9,0,4.2,0,0,0
424,17.97,16,5,6.1,0,1,0
425,14.98,16,3,1.8,0,0,0
426,1.31,16,4,1.6,0,1,0
427,70.75,20,4,4.9,0,0,0
428,8.74,12,1,0.1,0,0,0
429,1.0,16,6,8.1,0,0,0
430,145.83,17,4,5.2,1,1,0
431,40.81,18,1,34.5,0,1,0
432,3.86,11,6,19.6,0,0,0
433,211.85,18,7,2.7,0,1,0
434,100.04,11,5,1.8,1,1,0
435,44.04,17,5,15.5,0,0,0
436,1101.72,4,13,25.3,0,1,1
437,56.77,7,5,3.6,0,1,0
438,124.29,14,0,4.1,1,1,0
439,3.33,18,2,5.3,0,0,0
440,25.81,6,4,3.7,1,0,0
441,178.23,0,7,157.9,1,0,1
442,23.5,9,4,4.9,0,1,0
443,70.27,15,2,0.6,0,0,0
444,151.66,10,4,3.3,0,1,0
445,28.14,13,2,31.5,0,1,0
446,275.96,11,4,2.6,0,1,0
447,89.28,20,4,0.3,0,1,0
448,21.48,19,3,6.0,0,0,0
449,68.47,12,5,1.5,0,0,0
450,27.14,21,4,8.7,0,1,0
451,8.16,13,2,9.7,0,0,0
452,48.35,9,2,11.9,0,0,0
453,15.18,14,5,0.2,0,0,0
454,43.19,10,3,15.8,0,0,0
455,33.0,4,1,10.2,0,1,0
456,141.45,9,4,2.0,0,1,0
457,4.35,22,2,5.3,0,0,0
458,77.45,8,3,4.2,0,0,0
459,38.34,14,4,23.0,0,0,0
460,19.55,21,3,35.8,0,0,0
461,40.14,7,6,2.2,1,0,0
462,36.52,12,3,3.7,0,0,0
463,115.64,13,1,11.5,0,1,0
464,80.43,17,5,0.6,0,0,0
465,54.61,10,2,0.1,0,0,0
466,1.0,16,3,1.8,0,0,0
467,2.39,13,1,3.3,0,1,0
468,148.16,8,2,4.5,0,1,0
469,226.45,14,1,0.1,0,1,0
470,36.79,12,3,1.5,0,0,0
471,70.93,15,2,32.3,0,1,0
472,101.12,9,5,0.2,0,0,0
473,74.73,13,0,5.0,0,1,0
474,37.54,12,1,3.5,0,1,0
475,8.07,17,2,1.6,1,0,0
476,622.96,1,7,31.4,1,1,1
477,66.42,21,7,0.8,0,1,0
478,21.13,9,0,1.8,0,1,0
479,110.11,8,4,13.2,0,1,0
480,23.57,14,0,4.0,0,1,0
481,89.09,7,4,10.3,0,0,0
482,27.44,16,3,15.7,0,1,0
483,240.15,7,3,1.2,1,0,0
484,287.55,9,2,22.1,1,1,0
485,43.43,7,2,28.4,0,1,0
486,161.24,20,3,9.5,0,0,0
487,30.93,13,8,1.3,0,0,0
488,1.0,16,2,1.2,0,1,0
489,84.24,20,5,5.9,0,0,0
490,45.48,10,0,4.8,0,0,0
491,100.68,7,6,8.5,0,1,0
492,18.81,15,2,17.2,0,0,0
493,64.66,15,7,5.7,1,0,0
494,31.19,8,0,21.4,0,0,0
495,189.67,20,1,9.7,0,0,0
496,107.13,22,7,18.8,0,1,0
497,56.17,16,3,11.3,0,0,0
498,111.94,13,5,1.7,0,0,0
499,1.95,11,5,0.4,0,1,0
500,39.52,12,4,8.5,0,0,0
501,23.29,15,1,0.8,0,1,0
502,15.33,2,3,13.2,0,1,0
503,215.89,20,2,24.1,0,1,0
504,73.71,10,3,3.8,0,1,0
505,1314.37,19,6,193.3,1,1,1
506,104.84,20,3,10.6,0,0,0
507,38.89,8,2,7.1,0,0,0
508,63.11,19,3,3.1,0,0,0
509,48.23,23,2,2.9,0,1,0
510,16.97,4,2,0.6,0,1,0
511,75.27,13,2,0.8,0,1,0
512,16.66,20,3,8.0,0,0,0
513,58.59,19,5,4.5,0,0,0
514,46.93,11,0,0.1,0,1,0
515,73.72,7,4,7.9,0,1,0
516,76.63,15,3,1.9,0,0,0
517,62.13,9,5,12.0,0,0,0
518,17.11,17,0,9.2,0,0,0
519,13.76,17,0,6.3,0,1,0
520,14.47,17,3,1.6,0,1,0
521,13.42,9,9,9.7,0,0,0
522,13.1,18,3,10.9,0,0,0
523,1.0,16,2,1.1,0,1,0
524,40.58,21,3,0.5,0,0,0
525,52.72,11,2,0.7,0,0,0
526,31.76,11,5,3.2,0,0,0
527,63.42,7,3,4.6,0,0,0
528,20.5,11,0,10.4,0,1,0
529,2.21,11,3,30.9,0,1,0
530,83.94,22,3,2.3,0,1,0
531,35.9,10,2,9.4,0,0,0
532,49.01,7,6,6.4,0,1,0
533,8.22,15,3,2.9,0,0,0
534,15.51,10,2,0.9,0,0,0
535,69.0,17,2,4.1,0,0,0
536,3.41,14,3,16.5,0,1,0
537,304.09,12,2,14.2,0,0,0
538,28.12,19,4,3.3,1,1,0
539,98.69,13,1,4.3,0,0,0
540,16.59,14,5,1.1,0,0,0
541,54.28,13,2,4.1,0,1,0
542,647.65,2,6,69.4,1,1,1
543,88.19,7,1,1.0,0,0,0
544,27.36,13,2,10.1,0,0,0
545,15.16,20,1,3.1,0,1,0
546,34.75,11,5,1.4,0,0,0
547,21.57,13,4,10.3,0,1,0
548,61.16,4,2,2.9,0,0,0
549,152.41,15,1,5.0,0,0,0
550,25.66,22,4,8.0,0,1,0
551,98.73,15,1,24.6,1,0,0
552,182.21,16,2,1.6,0,0,0
553,1031.86,22,9,49.1,1,1,1
554,89.48,8,6,0.9,0,0,0
555,54.04,11,2,16.6,0,0,0
556,15.16,21,1,0.1,1,0,0
557,26.61,15,4,0.7,1,1,0
558,40.85,19,4,23.7,0,1,0
559,51.17,20,3,6.3,0,0,0
560,18.96,19,3,1.2,0,0,0
561,42.73,16,5,9.1,0,1,0
562,10.21,9,2,2.3,0,0,0
563,47.9,9,1,22.0,0,0,0
564,30.6,20,2,6.2,0,1,0
565,65.62,19,2,0.3,0,1,0
566,44.36,22,1,8.6,0,1,0
567,119.8,10,6,0.3,0,0,0
568,100.53,7,4,9.5,1,1,0
569,1.0,8,2,0.9,0,0,0
570,131.14,17,4,3.4,0,0,0
571,44.91,10,4,1.5,0,0,0
572,26.95,8,2,3.3,0,0,0
573,18.42,20,3,1.9,0,0,0
574,113.58,19,2,10.6,0,1,0
575,34.03,12,3,0.4,0,0,0
576,16.24,10,1,14.4,0,0,0
577,2.95,13,2,0.2,0,0,0
578,28.36,23,3,0.3,0,0,0
579,37.75,11,4,2.7,0,0,0
580,1.47,16,4,12.2,1,0,0
581,168.19,18,1,9.2,0,0,0
582,17.5,3,4,26.2,0,1,0
583,36.55,15,2,6.2,0,0,0
584,18.61,5,1,8.9,0,0,0
585,65.27,12,2,5.5,0,1,0
586,3.34,2,5,2.6,0,0,0
587,54.2,15,3,5.1,0,1,0
588,33.23,16,3,4.5,0,0,0
589,121.39,16,0,4.3,0,1,0
590,52.89,20,4,14.1,0,1,0
591,72.6,18,4,1.9,0,0,0
592,64.94,12,1,1.8,0,1,0
593,76.1,21,5,4.1,0,0,0
594,208.17,0,7,154.2,1,0,1
595,6.18,9,7,14.9,0,0,0
596,65.03,3,4,7.2,0,0,0
597,10.64,11,3,7.6,0,0,0
598,14.21,18,5,2.0,0,0,0
599,5.14,18,2,10.1,0,0,0
600,135.75,8,5,2.6,0,0,0
601,93.2,7,2,8.6,0,0,0
602,96.13,8,3,2.2,0,0,0
603,119.31,17,4,16.6,0,0,0
604,70.45,15,4,11.4,0,1,0
605,66.73,5,2,0.4,0,0,0
606,26.0,18,1,2.5,0,0,0
607,255.64,15,3,0.5,1,0,0
608,22.18,22,2,12.5,0,0,0
609,30.41,10,2,10.5,1,1,0
610,70.21,14,2,2.9,0,0,0
611,89.39,14,3,2.6,0,0,0
612,5.99,11,2,1.4,0,0,0
613,38.68,7,1,3.7,0,0,0
614,12.74,12,4,3.1,0,0,0
615,69.28,17,5,20.3,0,0,0
616,42.8,17,3,1.5,0,1,0
617,46.98,13,1,9.6,0,1,0
618,187.41,7,2,0.9,0,0,0
619,7.78,16,4,13.5,0,0,0
620,1.0,13,4,1.9,0,0,0
621,53.43,13,2,16.3,0,1,0
622,17.3,12,6,23.8,0,0,0
623,17.63,16,2,2.3,0,1,0
624,51.0,13,2,1.4,0,1,0
625,11.14,21,2,8.6,0,0,0
626,34.85,13,4,1.5,0,1,0
627,18.42,15,2,29.2,0,1,0
628,74.28,20,7,8.2,0,1,0
629,12.03,19,4,0.9,0,1,0
630,190.46,15,4,9.4,0,0,0
631,52.64,21,7,0.2,0,1,0
632,63.11,8,2,12.7,1,1,0
633,76.38,9,1,3.6,1,1,0
634,84.32,10,6,3.1,0,0,0
635,16.44,15,3,9.3,0,1,0
636,13.29,19,1,6.2,1,0,0
637,42.09,15,4,13.1,0,0,0
638,52.59,19,0,9.1,0,1,0
639,51.71,8,3,12.4,0,0,0
640,6.34,2,2,10.2,0,0,0
641,169.07,10,4,27.1,0,1,0
642,22.28,18,4,6.8,0,0,0
643,26.24,13,1,7.6,0,1,0
644,63.19,18,0,1.7,0,0,0
645,20.6,15,1,15.7,0,0,0
646,58.51,19,1,34.2,0,1,0
647,21.1,14,4,4.7,0,1,0
648,124.99,9,3,2.0,0,1,0
649,16.99,13,4,14.1,0,1,0
650,21.24,22,2,5.3,0,1,0
651,21.74,21,2,6.8,0,1,0
652,86.64,14,2,1.2,1,0,0
653,41.58,11,2,12.1,0,0,0
654,10.61,11,4,2.7,0,1,0
655,20.22,0,2,17.3,0,1,0
656,14.99,2,3,9.4,1,1,0
657,94.98,8,6,9.7,0,1,0
658,1.0,7,5,1.0,0,0,0
659,84.13,22,1,33.5,0,0,0
660,60.13,15,2,33.6,0,0,0
661,94.3,13,2,9.6,0,0,0
662,44.93,13,4,11.7,0,0,0
663,60.11,13,2,20.9,0,1,0
664,58.88,19,1,3.5,0,1,0
665,213.45,15,4,2.2,0,0,0
666,63.37,10,3,8.1,0,1,0
667,76.84,18,4,0.7,0,0,0
668,13.04,20,2,6.5,0,0,0
669,15.06,14,4,8.3,0,1,0
670,16.88,18,2,8.7,0,1,0
671,75.9,7,2,1.6,0,0,0
672,45.38,5,2,49.6,1,1,0
673,88.22,6,1,20.2,0,0,0
674,8.8,17,0,2.9,0,1,0
675,3.83,5,4,16.9,0,0,0
676,3.76,15,2,6.6,0,1,0
677,8.35,7,3,8.2,0,1,0
678,84.27,11,2,2.3,0,1,0
679,11.75,19,3,9.3,0,0,0
680,37.35,22,2,1.1,0,1,0
681,208.36,13,2,1.8,0,1,0
682,54.82,14,4,2.4,0,0,0
683,748.38,1,11,3.9,1,1,1
684,23.74,20,1,12.3,0,1,0
685,13.71,13,3,1.4,0,0,0
686,8.11,11,0,7.9,0,1,0
687,26.92,10,2,5.5,0,1,0
688,119.48,7,2,8.6,0,0,0
689,38.12,18,3,6.4,0,0,0
690,2.17,11,1,12.3,0,1,0
691,43.55,9,4,2.7,0,0,0
692,123.69,6,4,1.5,0,0,0
693,158.96,13,12,13.9,0,0,0
694,7.34,9,6,7.4,0,0,0
